MESS_DATUM;V_N
2023061600;1
2023061601;0
2023061602;1
2023061603;0
2023061604;7
2023061605;8
2023061606;8
2023061607;8
2023061608;7
2023061609;8
2023061610;8
2023061611;7
2023061612;8
2023061613;8
2023061614;8
2023061615;8
2023061616;8
2023061617;6
2023061618;8
2023061619;8
2023061620;8
2023061621;8
2023061622;8
2023061623;7
2023061700;8
2023061701;8
2023061702;8
2023061703;2
2023061704;8
2023061705;8
2023061706;0
2023061707;0
2023061708;7
2023061709;7
2023061710;2
2023061711;3
2023061712;5
2023061713;5
2023061714;3
2023061715;5
2023061716;3
2023061717;1
2023061718;0
2023061719;0
2023061720;0
2023061721;0
2023061722;0
2023061723;0
2023061800;0
2023061801;0
2023061802;0
2023061803;1
2023061804;1
2023061805;0
2023061806;1
2023061807;2
2023061808;1
2023061809;4
2023061810;5
2023061811;7
2023061812;6
2023061813;7
2023061814;8
2023061815;6
2023061816;5
2023061817;8
2023061818;8
2023061819;8
2023061820;8
2023061821;8
2023061822;8
2023061823;6
2023061900;8
2023061901;7
2023061902;8
2023061903;8
2023061904;8
2023061905;7
2023061906;8
2023061907;8
2023061908;8
2023061909;5
2023061910;6
2023061911;7
2023061912;7
2023061913;6
2023061914;4
2023061915;7
2023061916;8
2023061917;8
2023061918;8
2023061919;8
2023061920;8
2023061921;8
2023061922;8
2023061923;8
2023062000;8
2023062001;8
2023062002;8
2023062003;8
2023062004;8
2023062005;7
2023062006;7
2023062007;8
2023062008;8
2023062009;8
2023062010;8
2023062011;7
2023062012;6
2023062013;5
2023062014;7
2023062015;7
2023062016;7
2023062017;6
2023062018;5
2023062019;3
2023062020;7
2023062021;8
2023062022;8
2023062023;8
2023062100;7
2023062101;8
2023062102;8
2023062103;8
2023062104;7
2023062105;8
2023062106;8
2023062107;7
2023062108;7
2023062109;6
2023062110;6
2023062111;7
2023062112;7
2023062113;2
2023062114;4
2023062115;7
2023062116;7
2023062117;7
2023062118;8
2023062119;8
2023062120;3
2023062121;4
2023062122;6
2023062123;8
2023062200;5
2023062201;7
2023062202;8
2023062203;8
2023062204;8
2023062205;8
2023062206;8
2023062207;8
2023062208;8
2023062209;8
2023062210;7
2023062211;4
2023062212;7
2023062213;6
2023062214;8
2023062215;8
2023062216;8
2023062217;8
2023062218;7
2023062219;8
2023062220;7
2023062221;8
2023062222;8
2023062223;8
2023062300;8
2023062301;8
2023062302;8
2023062303;8
2023062304;8
2023062305;8
2023062306;8
2023062307;8
2023062308;8
2023062309;8
2023062310;8
2023062311;8
2023062312;8
2023062313;8
2023062314;8
2023062315;8
2023062316;8
2023062317;8
2023062318;8
2023062319;7
2023062320;8
2023062321;4
2023062322;7
2023062323;8
2023062400;8
2023062401;8
2023062402;8
2023062403;0
2023062404;0
2023062405;0
2023062406;0
2023062407;7
2023062408;4
2023062409;8
2023062410;4
2023062411;0
2023062412;3
2023062413;7
2023062414;6
2023062415;6
2023062416;2
2023062417;0
2023062418;0
2023062419;0
2023062420;0
2023062421;0
2023062422;0
2023062423;0
2023062500;0
2023062501;0
2023062502;0
2023062503;0
2023062504;0
2023062505;0
2023062506;0
2023062507;0
2023062508;7
2023062509;8
2023062510;8
2023062511;6
2023062512;8
2023062513;6
2023062514;8
2023062515;8
2023062516;8
2023062517;6
2023062518;3
2023062519;0
2023062520;0
2023062521;0
2023062522;0
2023062523;8
2023062600;0
2023062601;2
2023062602;5
2023062603;0
2023062604;0
2023062605;0
2023062606;0
2023062607;0
2023062608;0
2023062609;0
2023062610;0
2023062611;2
2023062612;7
2023062613;8
2023062614;5
2023062615;8
2023062616;5
2023062617;7
2023062618;7
2023062619;7
2023062620;7
2023062621;8
2023062622;7
2023062623;7
2023062700;8
2023062701;7
2023062702;8
2023062703;7
2023062704;3
2023062705;7
2023062706;8
2023062707;7
2023062708;7
2023062709;7
2023062710;7
2023062711;5
2023062712;5
2023062713;6
2023062714;7
2023062715;7
2023062716;8
2023062717;7
2023062718;8
2023062719;0
2023062720;7
2023062721;8
2023062722;7
2023062723;8
2023062800;7
2023062801;8
2023062802;7
2023062803;8
2023062804;8
2023062805;8
2023062806;7
2023062807;2
2023062808;0
2023062809;3
2023062810;4
2023062811;3
2023062812;2
2023062813;5
2023062814;4
2023062815;6
2023062816;7
2023062817;7
2023062818;7
2023062819;6
2023062820;0
2023062821;0
2023062822;0
2023062823;0
2023062900;5
2023062901;8
2023062902;8
2023062903;8
2023062904;7
2023062905;8
2023062906;8
2023062907;8
2023062908;8
2023062909;8
2023062910;8
2023062911;8
2023062912;8
2023062913;8
2023062914;8
2023062915;8
2023062916;8
2023062917;8
2023062918;8
2023062919;8
2023062920;8
2023062921;8
2023062922;8
2023062923;8
2023063000;8
2023063001;8
2023063002;8
2023063003;8
2023063004;8
2023063005;8
2023063006;8
2023063007;8
2023063008;8
2023063009;7
2023063010;8
2023063011;8
2023063012;8
2023063013;8
2023063014;8
2023063015;8
2023063016;8
2023063017;8
2023063018;7
2023063019;7
2023063020;8
2023063021;7
2023063022;8
2023063023;8
2023070100;8
2023070101;8
2023070102;8
2023070103;8
2023070104;8
2023070105;7
2023070106;8
2023070107;8
2023070108;8
2023070109;8
2023070110;8
2023070111;8
2023070112;8
2023070113;8
2023070114;7
2023070115;8
2023070116;8
2023070117;8
2023070118;8
2023070119;8
2023070120;8
2023070121;8
2023070122;8
2023070123;7
2023070200;8
2023070201;8
2023070202;8
2023070203;8
2023070204;7
2023070205;8
2023070206;8
2023070207;8
2023070208;7
2023070209;7
2023070210;8
2023070211;7
2023070212;7
2023070213;7
2023070214;6
2023070215;7
2023070216;5
2023070217;7
2023070218;7
2023070219;7
2023070220;7
2023070221;8
2023070222;8
2023070223;7
2023070300;7
2023070301;6
2023070302;7
2023070303;7
2023070304;7
2023070305;7
2023070306;8
2023070307;7
2023070308;7
2023070309;7
2023070310;7
2023070311;7
2023070312;7
2023070313;7
2023070314;7
2023070315;7
2023070316;6
2023070317;7
2023070318;4
2023070319;7
2023070320;7
2023070321;7
2023070322;7
2023070323;7
2023070400;7
2023070401;5
2023070402;6
2023070403;7
2023070404;7
2023070405;7
2023070406;7
2023070407;7
2023070408;7
2023070409;7
2023070410;6
2023070411;7
2023070412;7
2023070413;7
2023070414;4
2023070415;4
2023070416;7
2023070417;5
2023070418;3
2023070419;3
2023070420;8
2023070421;8
2023070422;8
2023070423;8
2023070500;8
2023070501;7
2023070502;8
2023070503;8
2023070504;7
2023070505;7
2023070506;8
2023070507;8
2023070508;7
2023070509;8
2023070510;6
2023070511;7
2023070512;7
2023070513;6
2023070514;5
2023070515;6
2023070516;7
2023070517;6
2023070518;1
2023070519;7
2023070520;5
2023070521;1
2023070522;8
2023070523;4
2023070600;7
2023070601;8
2023070602;8
2023070603;8
2023070604;8
2023070605;8
2023070606;2
2023070607;6
2023070608;1
2023070609;3
2023070610;5
2023070611;7
2023070612;7
2023070613;8
2023070614;7
2023070615;7
2023070616;8
2023070617;8
2023070618;1
2023070619;6
2023070620;0
2023070621;0
2023070622;0
2023070623;0
2023070700;0
2023070701;0
2023070702;1
2023070703;3
2023070704;0
2023070705;2
2023070706;0
2023070707;0
2023070708;1
2023070709;0
2023070710;0
2023070711;0
2023070712;0
2023070713;7
2023070714;3
2023070715;5
2023070716;3
2023070717;0
2023070718;0
2023070719;0
2023070720;0
2023070721;0
2023070722;0
2023070723;0
2023070800;0
2023070801;0
2023070802;0
2023070803;0
2023070804;0
2023070805;0
2023070806;0
2023070807;0
2023070808;0
2023070809;0
2023070810;6
2023070811;7
2023070812;7
2023070813;0
2023070814;0
2023070815;0
2023070816;0
2023070817;1
2023070818;0
2023070819;0
2023070820;5
2023070821;7
2023070822;5
2023070823;0
2023070900;7
2023070901;1
2023070902;0
2023070903;0
2023070904;4
2023070905;8
2023070906;8
2023070907;8
2023070908;8
2023070909;8
2023070910;3
2023070911;3
2023070912;4
2023070913;8
2023070914;1
2023070915;4
2023070916;7
2023070917;8
2023070918;8
2023070919;8
2023070920;8
2023070921;8
2023070922;8
2023070923;8
2023071000;8
2023071001;8
2023071002;5
2023071003;8
2023071004;8
2023071005;8
2023071006;0
2023071007;5
2023071008;7
2023071009;8
2023071010;8
2023071011;8
2023071012;8
2023071013;8
2023071014;5
2023071015;3
2023071016;6
2023071017;3
2023071018;1
2023071019;0
2023071020;8
2023071021;8
2023071022;8
2023071023;8
2023071100;8
2023071101;8
2023071102;8
2023071103;4
2023071104;0
2023071105;0
2023071106;0
2023071107;0
2023071108;0
2023071109;0
2023071110;2
2023071111;4
2023071112;7
2023071113;3
2023071114;3
2023071115;0
2023071116;0
2023071117;1
2023071118;3
2023071119;3
2023071120;8
2023071121;8
2023071122;8
2023071123;8
2023071200;8
2023071201;8
2023071202;8
2023071203;8
2023071204;8
2023071205;8
2023071206;8
2023071207;8
2023071208;0
2023071209;0
2023071210;4
2023071211;7
2023071212;7
2023071213;1
2023071214;4
2023071215;4
2023071216;6
2023071217;6
2023071218;7
2023071219;8
2023071220;8
2023071221;8
2023071222;8
2023071223;5
2023071300;7
2023071301;6
2023071302;3
2023071303;0
2023071304;0
2023071305;6
2023071306;8
2023071307;6
2023071308;7
2023071309;7
2023071310;7
2023071311;8
2023071312;7
2023071313;6
2023071314;7
2023071315;8
