MESS_DATUM;P;P0
2015010100;-999;896.9
2015010101;-999;896.8
2015010102;-999;897.0
2015010103;-999;896.7
2015010104;-999;896.6
2015010105;-999;896.3
2015010106;-999;896.9
2015010107;-999;896.8
2015010108;-999;896.7
2015010109;-999;896.4
2015010110;-999;896.6
2015010111;-999;896.4
2015010112;-999;895.4
2015010113;-999;894.6
2015010114;-999;894.8
2015010115;-999;894.7
2015010116;-999;894.6
2015010117;-999;893.8
2015010118;-999;893.2
2015010119;-999;892.5
2015010120;-999;891.8
2015010121;-999;890.9
2015010122;-999;889.1
2015010123;-999;888.0
2015010200;-999;886.8
2015010201;-999;885.6
2015010202;-999;885.1
2015010203;-999;884.3
2015010204;-999;882.9
2015010205;-999;882.0
2015010206;-999;882.3
2015010207;-999;881.9
2015010208;-999;883.0
2015010209;-999;883.0
2015010210;-999;882.4
2015010211;-999;882.8
2015010212;-999;883.0
2015010213;-999;883.5
2015010214;-999;884.3
2015010215;-999;885.3
2015010216;-999;885.6
2015010217;-999;886.9
2015010218;-999;887.6
2015010219;-999;887.9
2015010220;-999;888.6
2015010221;-999;888.6
2015010222;-999;888.5
2015010223;-999;888.8
2015010300;-999;889.3
2015010301;-999;889.4
2015010302;-999;889.8
2015010303;-999;889.5
2015010304;-999;888.8
2015010305;-999;888.6
2015010306;-999;887.6
2015010307;-999;886.5
2015010308;-999;885.9
2015010309;-999;884.9
2015010310;-999;884.0
2015010311;-999;883.1
2015010312;-999;882.3
2015010313;-999;881.2
2015010314;-999;880.2
2015010315;-999;879.5
2015010316;-999;879.1
2015010317;-999;878.4
2015010318;-999;878.6
2015010319;-999;878.8
2015010320;-999;878.7
2015010321;-999;879.4
2015010322;-999;880.1
2015010323;-999;880.8
2015010400;-999;881.7
2015010401;-999;882.5
2015010402;-999;883.4
2015010403;-999;884.1
2015010404;-999;884.6
2015010405;-999;885.2
2015010406;-999;885.7
2015010407;-999;886.2
2015010408;-999;887.2
2015010409;-999;888.1
2015010410;-999;888.9
2015010411;-999;888.8
2015010412;-999;889.2
2015010413;-999;889.8
2015010414;-999;890.5
2015010415;-999;890.9
2015010416;-999;891.7
2015010417;-999;892.2
2015010418;-999;892.4
2015010419;-999;892.7
2015010420;-999;893.3
2015010421;-999;893.7
2015010422;-999;893.6
2015010423;-999;893.9
2015010500;-999;893.9
2015010501;-999;893.6
2015010502;-999;893.1
2015010503;-999;892.6
2015010504;-999;891.9
2015010505;-999;891.7
2015010506;-999;891.5
2015010507;-999;891.4
2015010508;-999;891.4
2015010509;-999;891.6
2015010510;-999;891.6
2015010511;-999;891.4
2015010512;-999;891.2
2015010513;-999;891.2
2015010514;-999;891.2
2015010515;-999;891.4
2015010516;-999;891.3
