MESS_DATUM;P;P0
2023061700;-999;886.0
2023061701;-999;885.6
2023061702;-999;885.5
2023061703;-999;885.1
2023061704;-999;884.9
2023061705;-999;885.0
2023061706;-999;885.0
2023061707;-999;885.3
2023061708;-999;885.7
2023061709;-999;885.9
2023061710;-999;886.1
2023061711;-999;886.1
2023061712;-999;886.1
2023061713;-999;886.0
2023061714;-999;885.8
2023061715;-999;885.9
2023061716;-999;885.9
2023061717;-999;886.1
2023061718;-999;886.1
2023061719;-999;886.2
2023061720;-999;886.5
2023061721;-999;886.5
2023061722;-999;886.4
2023061723;-999;886.3
2023061800;-999;886.2
2023061801;-999;886.1
2023061802;-999;885.9
2023061803;-999;886.1
2023061804;-999;886.1
2023061805;-999;886.1
2023061806;-999;886.4
2023061807;-999;886.7
2023061808;-999;887.0
2023061809;-999;887.1
2023061810;-999;887.0
2023061811;-999;887.1
2023061812;-999;886.8
2023061813;-999;886.9
2023061814;-999;886.7
2023061815;-999;886.6
2023061816;-999;886.4
2023061817;-999;886.4
2023061818;-999;886.5
2023061819;-999;886.4
2023061820;-999;886.4
2023061821;-999;886.5
2023061822;-999;886.3
2023061823;-999;885.9
2023061900;-999;885.6
2023061901;-999;885.2
2023061902;-999;884.7
2023061903;-999;884.6
2023061904;-999;884.6
2023061905;-999;884.8
2023061906;-999;885.1
2023061907;-999;885.4
2023061908;-999;885.6
2023061909;-999;885.6
2023061910;-999;885.8
2023061911;-999;886.1
2023061912;-999;886.1
2023061913;-999;886.2
2023061914;-999;886.2
2023061915;-999;886.4
2023061916;-999;886.4
2023061917;-999;886.3
2023061918;-999;886.3
2023061919;-999;886.7
2023061920;-999;886.9
2023061921;-999;887.1
2023061922;-999;887.3
2023061923;-999;887.0
2023062000;-999;887.0
2023062001;-999;886.9
2023062002;-999;886.8
2023062003;-999;886.4
2023062004;-999;886.6
2023062005;-999;886.6
2023062006;-999;886.7
2023062007;-999;886.7
2023062008;-999;886.5
2023062009;-999;886.3
2023062010;-999;886.4
2023062011;-999;886.2
2023062012;-999;886.2
2023062013;-999;886.1
2023062014;-999;886.1
2023062015;-999;886.0
2023062016;-999;885.9
2023062017;-999;885.8
2023062018;-999;885.7
2023062019;-999;885.2
2023062020;-999;885.3
2023062021;-999;885.6
2023062022;-999;885.3
2023062023;-999;885.0
2023062100;-999;885.1
2023062101;-999;884.5
2023062102;-999;884.6
2023062103;-999;884.9
2023062104;-999;885.7
2023062105;-999;886.2
2023062106;-999;886.5
2023062107;-999;887.2
2023062108;-999;887.9
2023062109;-999;888.1
2023062110;-999;888.7
2023062111;-999;889.1
2023062112;-999;890.0
2023062113;-999;890.1
2023062114;-999;890.3
2023062115;-999;890.3
2023062116;-999;890.4
2023062117;-999;890.7
2023062118;-999;890.9
2023062119;-999;891.2
2023062120;-999;891.4
2023062121;-999;891.3
2023062122;-999;891.7
2023062123;-999;891.8
2023062200;-999;891.6
2023062201;-999;891.7
2023062202;-999;891.0
2023062203;-999;891.1
2023062204;-999;891.5
2023062205;-999;891.1
2023062206;-999;891.0
2023062207;-999;891.0
2023062208;-999;890.8
2023062209;-999;890.9
2023062210;-999;890.5
2023062211;-999;890.5
2023062212;-999;890.1
2023062213;-999;889.4
2023062214;-999;888.8
2023062215;-999;887.9
2023062216;-999;887.0
2023062217;-999;887.2
2023062218;-999;885.8
2023062219;-999;884.9
2023062220;-999;885.0
2023062221;-999;884.4
2023062222;-999;884.7
2023062223;-999;885.0
2023062300;-999;884.2
2023062301;-999;883.3
2023062302;-999;883.4
2023062303;-999;882.7
2023062304;-999;882.7
2023062305;-999;883.2
2023062306;-999;883.7
2023062307;-999;883.9
2023062308;-999;884.2
2023062309;-999;885.4
2023062310;-999;886.4
2023062311;-999;887.1
2023062312;-999;888.0
2023062313;-999;889.2
2023062314;-999;890.0
2023062315;-999;890.9
2023062316;-999;891.7
2023062317;-999;892.3
2023062318;-999;892.9
2023062319;-999;892.9
2023062320;-999;893.4
2023062321;-999;893.7
2023062322;-999;893.7
2023062323;-999;893.7
2023062400;-999;893.5
2023062401;-999;893.7
2023062402;-999;893.6
2023062403;-999;893.4
2023062404;-999;893.5
2023062405;-999;893.8
2023062406;-999;894.2
2023062407;-999;894.9
2023062408;-999;895.1
2023062409;-999;895.4
2023062410;-999;895.5
2023062411;-999;895.4
2023062412;-999;895.3
2023062413;-999;895.2
2023062414;-999;895.2
2023062415;-999;895.0
2023062416;-999;894.7
2023062417;-999;894.6
2023062418;-999;894.5
2023062419;-999;894.2
2023062420;-999;894.2
2023062421;-999;894.0
2023062422;-999;893.7
2023062423;-999;893.8
2023062500;-999;893.6
2023062501;-999;893.3
2023062502;-999;893.0
2023062503;-999;892.7
2023062504;-999;892.6
2023062505;-999;892.3
2023062506;-999;892.3
2023062507;-999;892.4
2023062508;-999;892.4
2023062509;-999;892.4
2023062510;-999;892.3
2023062511;-999;892.0
2023062512;-999;891.7
2023062513;-999;891.4
2023062514;-999;891.1
2023062515;-999;890.8
2023062516;-999;890.5
2023062517;-999;890.1
2023062518;-999;889.9
2023062519;-999;889.8
2023062520;-999;889.6
2023062521;-999;889.6
2023062522;-999;889.5
2023062523;-999;889.3
2023062600;-999;888.9
2023062601;-999;888.6
2023062602;-999;888.2
2023062603;-999;887.8
2023062604;-999;887.6
2023062605;-999;887.3
2023062606;-999;887.0
2023062607;-999;886.9
2023062608;-999;886.8
2023062609;-999;886.8
2023062610;-999;886.6
2023062611;-999;886.4
2023062612;-999;886.6
2023062613;-999;886.9
2023062614;-999;886.2
2023062615;-999;886.6
2023062616;-999;886.4
2023062617;-999;886.7
2023062618;-999;887.0
2023062619;-999;887.3
2023062620;-999;887.5
2023062621;-999;887.7
2023062622;-999;887.8
2023062623;-999;887.8
2023062700;-999;887.7
2023062701;-999;887.7
2023062702;-999;887.6
2023062703;-999;887.3
2023062704;-999;887.3
2023062705;-999;887.6
2023062706;-999;887.7
2023062707;-999;888.0
2023062708;-999;887.9
2023062709;-999;887.8
2023062710;-999;888.0
2023062711;-999;887.8
2023062712;-999;887.6
2023062713;-999;887.4
2023062714;-999;887.2
2023062715;-999;886.9
2023062716;-999;887.1
2023062717;-999;887.0
2023062718;-999;887.1
2023062719;-999;887.1
2023062720;-999;887.3
2023062721;-999;887.5
2023062722;-999;887.3
2023062723;-999;887.0
2023062800;-999;886.8
2023062801;-999;886.8
2023062802;-999;887.0
2023062803;-999;886.8
2023062804;-999;886.9
2023062805;-999;887.0
2023062806;-999;887.1
2023062807;-999;887.6
2023062808;-999;887.8
2023062809;-999;888.1
2023062810;-999;888.3
2023062811;-999;888.5
2023062812;-999;888.5
2023062813;-999;888.6
2023062814;-999;888.7
2023062815;-999;888.7
2023062816;-999;888.6
2023062817;-999;888.6
2023062818;-999;888.7
2023062819;-999;888.8
2023062820;-999;888.8
2023062821;-999;888.8
2023062822;-999;888.7
2023062823;-999;888.6
2023062900;-999;888.4
2023062901;-999;888.1
2023062902;-999;887.9
2023062903;-999;887.6
2023062904;-999;887.3
2023062905;-999;887.5
2023062906;-999;887.3
2023062907;-999;887.3
2023062908;-999;887.2
2023062909;-999;887.2
2023062910;-999;887.2
2023062911;-999;887.1
2023062912;-999;886.9
2023062913;-999;886.7
2023062914;-999;886.5
2023062915;-999;886.3
2023062916;-999;886.0
2023062917;-999;885.6
2023062918;-999;885.4
2023062919;-999;885.1
2023062920;-999;885.0
2023062921;-999;885.0
2023062922;-999;884.6
2023062923;-999;884.6
2023063000;-999;884.3
2023063001;-999;884.0
2023063002;-999;883.8
2023063003;-999;883.4
2023063004;-999;883.1
2023063005;-999;883.1
2023063006;-999;882.8
2023063007;-999;883.1
2023063008;-999;883.1
2023063009;-999;883.2
2023063010;-999;883.1
2023063011;-999;882.9
2023063012;-999;882.9
2023063013;-999;882.8
2023063014;-999;882.7
2023063015;-999;882.8
2023063016;-999;882.4
2023063017;-999;882.2
2023063018;-999;882.2
2023063019;-999;882.2
2023063020;-999;882.5
2023063021;-999;882.3
2023063022;-999;881.9
2023063023;-999;881.5
2023070100;-999;881.0
2023070101;-999;880.6
2023070102;-999;880.2
2023070103;-999;879.5
2023070104;-999;879.3
2023070105;-999;878.3
2023070106;-999;878.0
2023070107;-999;877.4
2023070108;-999;877.0
2023070109;-999;876.5
2023070110;-999;876.4
2023070111;-999;876.3
2023070112;-999;876.1
2023070113;-999;876.3
2023070114;-999;875.8
2023070115;-999;875.4
2023070116;-999;875.5
2023070117;-999;875.8
2023070118;-999;875.7
2023070119;-999;875.7
2023070120;-999;876.1
2023070121;-999;876.5
2023070122;-999;876.8
2023070123;-999;877.0
2023070200;-999;876.9
2023070201;-999;876.6
2023070202;-999;876.9
2023070203;-999;876.7
2023070204;-999;876.9
2023070205;-999;877.2
2023070206;-999;876.9
2023070207;-999;877.2
2023070208;-999;877.8
2023070209;-999;878.3
2023070210;-999;878.6
2023070211;-999;879.0
2023070212;-999;879.3
2023070213;-999;879.8
2023070214;-999;880.2
2023070215;-999;880.4
2023070216;-999;880.4
2023070217;-999;880.6
2023070218;-999;880.7
2023070219;-999;880.7
2023070220;-999;880.7
2023070221;-999;880.9
2023070222;-999;880.8
2023070223;-999;880.6
2023070300;-999;880.0
2023070301;-999;879.7
2023070302;-999;879.6
2023070303;-999;879.3
2023070304;-999;878.9
2023070305;-999;878.9
2023070306;-999;879.3
2023070307;-999;879.6
2023070308;-999;880.1
2023070309;-999;880.3
2023070310;-999;880.7
2023070311;-999;880.9
2023070312;-999;881.1
2023070313;-999;881.3
2023070314;-999;881.5
2023070315;-999;881.4
2023070316;-999;881.3
2023070317;-999;881.6
2023070318;-999;881.4
2023070319;-999;881.2
2023070320;-999;881.1
2023070321;-999;881.1
2023070322;-999;880.7
2023070323;-999;880.7
2023070400;-999;880.3
2023070401;-999;879.7
2023070402;-999;879.9
2023070403;-999;879.6
2023070404;-999;880.3
2023070405;-999;880.8
2023070406;-999;881.5
2023070407;-999;882.0
2023070408;-999;882.4
2023070409;-999;882.8
2023070410;-999;883.0
2023070411;-999;883.1
2023070412;-999;883.3
2023070413;-999;883.7
2023070414;-999;883.7
2023070415;-999;884.0
2023070416;-999;884.4
2023070417;-999;884.5
2023070418;-999;884.6
2023070419;-999;884.8
2023070420;-999;884.9
2023070421;-999;884.7
2023070422;-999;884.1
2023070423;-999;883.6
2023070500;-999;882.9
2023070501;-999;881.8
2023070502;-999;880.7
2023070503;-999;879.2
2023070504;-999;878.9
2023070505;-999;877.6
2023070506;-999;877.2
2023070507;-999;877.4
2023070508;-999;877.3
2023070509;-999;877.2
2023070510;-999;878.2
2023070511;-999;879.3
2023070512;-999;880.1
2023070513;-999;880.3
2023070514;-999;880.7
2023070515;-999;881.3
2023070516;-999;882.0
2023070517;-999;882.3
2023070518;-999;882.8
2023070519;-999;883.5
2023070520;-999;884.3
2023070521;-999;884.6
2023070522;-999;884.9
2023070523;-999;884.9
2023070600;-999;885.0
2023070601;-999;885.2
2023070602;-999;885.1
2023070603;-999;885.1
2023070604;-999;885.3
2023070605;-999;885.6
2023070606;-999;886.0
2023070607;-999;886.9
2023070608;-999;887.2
2023070609;-999;887.7
2023070610;-999;888.0
2023070611;-999;888.4
2023070612;-999;888.7
2023070613;-999;889.0
2023070614;-999;889.1
2023070615;-999;889.4
2023070616;-999;889.5
2023070617;-999;889.5
2023070618;-999;889.7
2023070619;-999;890.0
2023070620;-999;890.5
2023070621;-999;890.8
2023070622;-999;891.1
2023070623;-999;891.2
2023070700;-999;891.3
2023070701;-999;891.3
2023070702;-999;891.4
2023070703;-999;891.5
2023070704;-999;891.7
2023070705;-999;892.0
2023070706;-999;892.3
2023070707;-999;892.7
2023070708;-999;892.8
2023070709;-999;893.1
2023070710;-999;893.2
2023070711;-999;893.3
2023070712;-999;893.4
2023070713;-999;893.3
2023070714;-999;893.3
2023070715;-999;893.2
2023070716;-999;893.0
2023070717;-999;893.0
2023070718;-999;892.9
2023070719;-999;892.8
2023070720;-999;893.0
2023070721;-999;893.2
2023070722;-999;893.3
2023070723;-999;893.2
2023070800;-999;892.8
