MESS_DATUM;SD_SO
2023061603;0.0
2023061604;0.0
2023061605;0.0
2023061606;0.0
2023061607;0.0
2023061608;17.0
2023061609;17.0
2023061610;1.0
2023061611;0.0
2023061612;16.0
2023061613;20.0
2023061614;0.0
2023061615;4.0
2023061616;0.0
2023061617;17.0
2023061618;6.0
2023061619;0.0
2023061620;0.0
2023061703;0.0
2023061704;0.0
2023061705;27.0
2023061706;60.0
2023061707;60.0
2023061708;60.0
2023061709;60.0
2023061710;60.0
2023061711;55.0
2023061712;37.0
2023061713;41.0
2023061714;38.0
2023061715;37.0
2023061716;38.0
2023061717;50.0
2023061718;60.0
2023061719;60.0
2023061720;3.0
2023061803;0.0
2023061804;20.0
2023061805;60.0
2023061806;60.0
2023061807;58.0
2023061808;57.0
2023061809;32.0
2023061810;45.0
2023061811;10.0
2023061812;23.0
2023061813;3.0
2023061814;2.0
2023061815;22.0
2023061816;31.0
2023061817;5.0
2023061818;29.0
2023061819;37.0
2023061820;4.0
2023061903;0.0
2023061904;0.0
2023061905;0.0
2023061906;0.0
2023061907;0.0
2023061908;4.0
2023061909;23.0
2023061910;60.0
2023061911;48.0
2023061912;47.0
2023061913;29.0
2023061914;45.0
2023061915;56.0
2023061916;23.0
2023061917;14.0
2023061918;43.0
2023061919;30.0
2023061920;4.0
2023062003;0.0
2023062004;0.0
2023062005;0.0
2023062006;0.0
2023062007;0.0
2023062008;0.0
2023062009;5.0
2023062010;7.0
2023062011;40.0
2023062012;41.0
2023062013;34.0
2023062014;29.0
2023062015;18.0
2023062016;27.0
2023062017;18.0
2023062018;48.0
2023062019;58.0
2023062020;0.0
2023062103;0.0
2023062104;0.0
2023062105;1.0
2023062106;13.0
2023062107;23.0
2023062108;48.0
2023062109;37.0
2023062110;53.0
2023062111;55.0
2023062112;18.0
2023062113;32.0
2023062114;44.0
2023062115;20.0
2023062116;28.0
2023062117;17.0
2023062118;0.0
2023062119;0.0
2023062120;0.0
2023062203;0.0
2023062204;0.0
2023062205;0.0
2023062206;0.0
2023062207;0.0
2023062208;0.0
2023062209;27.0
2023062210;49.0
2023062211;40.0
2023062212;28.0
2023062213;31.0
2023062214;30.0
2023062215;14.0
2023062216;0.0
2023062217;0.0
2023062218;0.0
2023062219;0.0
2023062220;0.0
2023062303;0.0
2023062304;0.0
2023062305;0.0
2023062306;0.0
2023062307;0.0
2023062308;0.0
2023062309;0.0
2023062310;0.0
2023062311;0.0
2023062312;0.0
2023062313;0.0
2023062314;0.0
2023062315;0.0
2023062316;0.0
2023062317;0.0
2023062318;0.0
2023062319;2.0
2023062320;0.0
2023062403;0.0
