MESS_DATUM;TT_TU;RF_TU
2015010100;-1.5;100.0
2015010101;-1.5;100.0
2015010102;-1.9;100.0
2015010103;-2.1;100.0
2015010104;-2.0;100.0
2015010105;-1.5;100.0
2015010106;-1.9;100.0
2015010107;-2.6;100.0
2015010108;-2.2;100.0
2015010109;-2.2;100.0
2015010110;-1.4;100.0
2015010111;-1.7;100.0
2015010112;-2.8;100.0
2015010113;-3.1;94.0
2015010114;-2.5;100.0
2015010115;-2.6;100.0
2015010116;-3.0;100.0
2015010117;-1.7;90.0
2015010118;-2.0;79.0
2015010119;-0.9;49.0
2015010120;-1.2;63.0
2015010121;-1.4;69.0
2015010122;-1.9;75.0
2015010123;-1.3;63.0
2015010200;-2.4;91.0
2015010201;-1.4;79.0
2015010202;-2.0;87.0
2015010203;-2.1;87.0
2015010204;-1.8;89.0
2015010205;-1.7;100.0
2015010206;-1.0;100.0
2015010207;-1.0;100.0
2015010208;-1.6;100.0
2015010209;-1.1;100.0
2015010210;-0.7;100.0
2015010211;-0.8;100.0
2015010212;-1.0;100.0
2015010213;-0.9;100.0
2015010214;-1.4;100.0
2015010215;-2.0;100.0
2015010216;-2.5;100.0
2015010217;-3.0;100.0
2015010218;-3.1;100.0
2015010219;-3.3;100.0
2015010220;-3.4;100.0
2015010221;-3.4;100.0
2015010222;-3.4;100.0
2015010223;-3.6;100.0
2015010300;-3.7;100.0
2015010301;-3.8;100.0
2015010302;-3.7;100.0
2015010303;-3.9;100.0
2015010304;-4.3;100.0
2015010305;-4.6;100.0
2015010306;-4.4;100.0
2015010307;-4.4;100.0
2015010308;-4.5;100.0
2015010309;-4.2;100.0
2015010310;-4.2;100.0
2015010311;-4.2;100.0
2015010312;-4.2;100.0
2015010313;-4.1;100.0
2015010314;-4.2;100.0
2015010315;-4.2;100.0
2015010316;-4.3;100.0
2015010317;-4.2;100.0
2015010318;-4.1;100.0
2015010319;-4.2;100.0
2015010320;-4.1;100.0
2015010321;-3.9;100.0
2015010322;-3.7;100.0
2015010323;-3.7;100.0
2015010400;-4.0;100.0
2015010401;-3.7;100.0
2015010402;-3.8;100.0
2015010403;-3.8;100.0
2015010404;-3.7;100.0
2015010405;-3.6;100.0
2015010406;-3.7;100.0
2015010407;-3.7;100.0
2015010408;-3.6;100.0
2015010409;-3.7;100.0
2015010410;-3.4;100.0
2015010411;-3.5;100.0
2015010412;-3.5;100.0
2015010413;-3.5;100.0
2015010414;-3.6;100.0
2015010415;-3.6;100.0
2015010416;-3.8;100.0
2015010417;-3.6;100.0
2015010418;-3.5;100.0
2015010419;-3.4;100.0
2015010420;-3.6;100.0
2015010421;-3.4;100.0
2015010422;-3.4;100.0
2015010423;-3.4;100.0
2015010500;-3.3;100.0
2015010501;-3.5;100.0
2015010502;-4.0;100.0
2015010503;-4.3;100.0
2015010504;-4.8;100.0
2015010505;-5.1;100.0
2015010506;-5.3;100.0
2015010507;-5.9;100.0
2015010508;-6.4;100.0
2015010509;-6.0;100.0
2015010510;-5.4;100.0
2015010511;-4.8;100.0
2015010512;-4.6;100.0
2015010513;-4.4;100.0
2015010514;-4.4;100.0
2015010515;-4.6;100.0
2015010516;-4.5;100.0
2015010517;-5.1;100.0
2015010518;-5.6;100.0
2015010519;-5.5;100.0
2015010520;-5.1;100.0
2015010521;-4.7;100.0
2015010522;-4.2;100.0
2015010523;-4.3;100.0
2015010600;-4.5;100.0
2015010601;-4.7;100.0
2015010602;-4.8;100.0
2015010603;-4.8;100.0
2015010604;-5.2;100.0
2015010605;-5.2;100.0
2015010606;-5.1;100.0
2015010607;-5.1;100.0
2015010608;-5.3;100.0
2015010609;-5.2;100.0
2015010610;-4.7;100.0
2015010611;-4.3;100.0
2015010612;-3.6;100.0
2015010613;-4.6;100.0
2015010614;-5.4;100.0
2015010615;-5.2;100.0
2015010616;-5.5;100.0
2015010617;-4.9;100.0
2015010618;-4.2;100.0
2015010619;-4.2;94.0
2015010620;-2.7;73.0
2015010621;-3.2;77.0
2015010622;-3.9;87.0
2015010623;-5.4;100.0
2015010700;-1.6;100.0
2015010701;-1.3;100.0
2015010702;-2.0;100.0
2015010703;-2.7;100.0
2015010704;-2.8;100.0
2015010705;-2.9;100.0
2015010706;-2.9;100.0
2015010707;-3.0;100.0
2015010708;-2.9;100.0
2015010709;-2.7;100.0
2015010710;-2.6;100.0
2015010711;-2.6;100.0
2015010712;-2.9;100.0
2015010713;-3.1;100.0
2015010714;-3.2;100.0
2015010715;-3.5;100.0
2015010716;-3.5;100.0
2015010717;-3.6;100.0
2015010718;-3.9;100.0
2015010719;-4.0;100.0
2015010720;-4.3;100.0
2015010721;-4.5;100.0
2015010722;-4.8;100.0
2015010723;-5.0;100.0
2015010800;-5.1;100.0
2015010801;-5.2;100.0
2015010802;-5.3;100.0
2015010803;-5.3;100.0
2015010804;-4.8;100.0
2015010805;-4.4;100.0
2015010806;-3.7;100.0
2015010807;-2.9;100.0
2015010808;-2.1;100.0
2015010809;-2.1;100.0
2015010810;-1.7;100.0
2015010811;-1.4;100.0
2015010812;-1.1;100.0
2015010813;-0.7;100.0
2015010814;-0.5;100.0
2015010815;-0.1;100.0
2015010816;-0.1;100.0
2015010817;-0.1;100.0
2015010818;0.0;100.0
2015010819;0.3;100.0
2015010820;-1.3;100.0
2015010821;-2.4;100.0
2015010822;-2.3;100.0
2015010823;-2.3;100.0
2015010900;-2.4;100.0
2015010901;-2.2;100.0
2015010902;-1.9;100.0
2015010903;-2.0;100.0
2015010904;-1.9;100.0
2015010905;-2.0;100.0
2015010906;-1.6;100.0
2015010907;-1.8;100.0
2015010908;-1.6;100.0
2015010909;-1.3;100.0
2015010910;-0.8;100.0
2015010911;-0.2;100.0
2015010912;0.0;100.0
2015010913;0.5;100.0
2015010914;0.8;100.0
2015010915;0.6;100.0
2015010916;0.7;100.0
2015010917;0.3;100.0
2015010918;0.3;100.0
2015010919;-0.6;100.0
2015010920;-1.0;100.0
2015010921;-1.3;100.0
2015010922;-0.5;100.0
2015010923;0.5;100.0
2015011000;2.3;100.0
2015011001;3.6;100.0
2015011002;4.9;100.0
2015011003;5.6;100.0
2015011004;5.7;100.0
2015011005;5.6;100.0
2015011006;5.5;100.0
2015011007;5.6;100.0
2015011008;6.1;100.0
2015011009;5.4;100.0
2015011010;4.0;100.0
2015011011;3.9;100.0
2015011012;3.9;100.0
2015011013;3.7;100.0
2015011014;4.1;100.0
2015011015;4.3;100.0
2015011016;1.7;100.0
2015011017;-1.5;100.0
2015011018;-2.0;100.0
2015011019;-2.9;100.0
2015011020;-3.3;100.0
2015011021;-3.9;100.0
2015011022;-4.2;100.0
2015011023;-4.5;100.0
2015011100;-4.6;100.0
2015011101;-4.8;100.0
2015011102;-4.9;100.0
2015011103;-5.1;100.0
2015011104;-5.2;100.0
2015011105;-5.5;100.0
2015011106;-5.4;100.0
2015011107;-5.3;100.0
2015011108;-5.2;100.0
2015011109;-4.9;100.0
2015011110;-4.8;100.0
2015011111;-4.6;100.0
2015011112;-4.7;100.0
2015011113;-4.7;100.0
2015011114;-4.4;100.0
2015011115;-4.5;100.0
2015011116;-4.4;100.0
2015011117;-4.3;100.0
2015011118;-3.9;100.0
2015011119;-3.6;100.0
2015011120;-3.3;100.0
2015011121;-3.3;100.0
2015011122;-2.9;100.0
2015011123;-2.9;100.0
2015011200;-2.6;100.0
2015011201;-2.5;100.0
2015011202;-2.2;100.0
2015011203;-1.9;100.0
2015011204;-1.8;100.0
2015011205;-1.7;100.0
2015011206;-1.6;100.0
2015011207;-1.5;100.0
2015011208;-1.4;100.0
2015011209;-1.5;100.0
2015011210;-1.5;100.0
2015011211;-1.4;100.0
2015011212;-1.2;100.0
2015011213;-1.2;100.0
2015011214;-1.2;100.0
2015011215;-0.8;100.0
2015011216;-0.7;100.0
2015011217;-0.6;100.0
2015011218;-0.5;100.0
2015011219;-0.4;100.0
2015011220;-0.3;100.0
2015011221;-0.2;100.0
2015011222;-0.2;100.0
2015011223;-0.1;100.0
2015011300;-0.1;100.0
2015011301;-0.1;100.0
2015011302;-0.1;100.0
2015011303;0.2;100.0
2015011304;0.3;100.0
2015011305;0.6;100.0
2015011306;0.8;100.0
2015011307;0.5;100.0
2015011308;-0.1;100.0
2015011309;-0.6;100.0
2015011310;0.1;100.0
2015011311;0.7;100.0
2015011312;1.0;100.0
2015011313;1.7;100.0
2015011314;2.0;100.0
2015011315;1.5;100.0
2015011316;1.5;100.0
2015011317;1.9;100.0
2015011318;1.7;100.0
2015011319;1.8;100.0
2015011320;2.0;100.0
2015011321;-0.3;100.0
2015011322;-0.1;100.0
2015011323;-0.3;100.0
2015011400;-0.2;100.0
2015011401;-0.6;100.0
2015011402;-0.7;100.0
2015011403;-0.5;100.0
2015011404;-0.8;100.0
2015011405;-0.6;100.0
2015011406;-1.5;100.0
2015011407;-3.1;100.0
2015011408;-3.5;100.0
2015011409;-4.0;100.0
2015011410;-3.8;100.0
2015011411;-3.9;100.0
2015011412;-3.7;100.0
2015011413;-3.6;100.0
2015011414;-3.0;100.0
2015011415;-2.9;100.0
2015011416;-3.1;100.0
2015011417;-3.9;100.0
2015011418;-4.2;100.0
2015011419;-4.6;100.0
2015011420;-4.9;100.0
2015011421;-4.8;100.0
2015011422;-5.1;100.0
2015011423;-5.4;100.0
2015011500;-5.5;100.0
2015011501;-5.5;100.0
2015011502;-4.7;100.0
2015011503;-4.7;100.0
2015011504;-3.8;100.0
2015011505;-3.3;100.0
2015011506;-3.4;100.0
2015011507;-2.6;100.0
2015011508;-2.0;100.0
2015011509;-1.6;100.0
2015011510;-1.3;100.0
2015011511;-1.1;100.0
2015011512;-0.6;100.0
2015011513;-0.2;100.0
2015011514;-0.1;100.0
2015011515;0.3;100.0
2015011516;0.5;100.0
2015011517;0.5;100.0
2015011518;0.8;100.0
2015011519;0.9;100.0
2015011520;1.0;100.0
2015011521;1.2;100.0
2015011522;1.2;100.0
2015011523;1.1;100.0
2015011600;1.0;100.0
2015011601;0.9;100.0
2015011602;0.2;100.0
2015011603;-0.3;100.0
2015011604;-1.2;100.0
2015011605;-1.6;100.0
2015011606;-1.4;100.0
2015011607;-1.2;100.0
2015011608;-1.5;100.0
2015011609;-1.9;100.0
2015011610;-2.1;100.0
2015011611;-2.3;100.0
2015011612;-2.3;100.0
2015011613;-2.2;100.0
2015011614;-1.7;100.0
2015011615;-1.4;100.0
2015011616;-1.4;100.0
2015011617;-1.3;100.0
2015011618;-1.5;100.0
2015011619;-1.4;100.0
2015011620;-1.6;100.0
2015011621;-1.5;100.0
2015011622;-1.5;100.0
2015011623;-2.6;100.0
2015011700;-3.2;100.0
2015011701;-3.5;100.0
2015011702;-2.6;100.0
2015011703;-2.6;100.0
2015011704;-2.9;100.0
2015011705;-3.0;100.0
2015011706;-2.9;100.0
2015011707;-3.6;100.0
2015011708;-4.1;100.0
2015011709;-4.2;100.0
2015011710;-4.2;100.0
2015011711;-4.3;100.0
2015011712;-4.2;100.0
2015011713;-3.8;100.0
2015011714;-4.2;100.0
2015011715;-5.1;100.0
2015011716;-5.1;100.0
2015011717;-5.4;100.0
2015011718;-5.9;100.0
2015011719;-6.2;100.0
2015011720;-6.2;100.0
2015011721;-5.5;100.0
2015011722;-5.5;100.0
2015011723;-5.9;100.0
2015011800;-5.9;100.0
2015011801;-5.7;100.0
2015011802;-5.8;100.0
2015011803;-6.3;100.0
2015011804;-6.5;100.0
2015011805;-6.8;100.0
2015011806;-7.6;100.0
2015011807;-7.8;100.0
2015011808;-6.2;77.0
2015011809;-6.8;93.0
2015011810;-6.1;91.0
2015011811;-6.1;98.0
2015011812;-6.1;100.0
2015011813;-5.9;100.0
2015011814;-5.8;100.0
2015011815;-6.3;100.0
2015011816;-6.4;100.0
2015011817;-6.4;100.0
2015011818;-6.4;100.0
2015011819;-6.4;100.0
2015011820;-6.2;100.0
2015011821;-6.2;100.0
2015011822;-6.5;100.0
2015011823;-6.2;99.0
2015011900;-6.1;100.0
2015011901;-5.6;100.0
2015011902;-5.8;100.0
2015011903;-5.8;100.0
2015011904;-6.2;100.0
2015011905;-5.9;100.0
2015011906;-5.6;100.0
2015011907;-5.7;100.0
2015011908;-6.0;100.0
2015011909;-5.9;100.0
2015011910;-5.7;100.0
2015011911;-5.3;100.0
2015011912;-5.1;100.0
2015011913;-5.0;100.0
2015011914;-5.2;100.0
2015011915;-5.3;100.0
2015011916;-5.6;100.0
2015011917;-5.7;100.0
2015011918;-6.0;100.0
2015011919;-5.9;100.0
2015011920;-5.9;100.0
2015011921;-6.0;100.0
2015011922;-6.0;100.0
2015011923;-6.0;100.0
2015012000;-6.3;100.0
2015012001;-6.3;100.0
2015012002;-6.1;100.0
2015012003;-6.1;100.0
2015012004;-5.9;100.0
2015012005;-5.8;100.0
2015012006;-5.7;100.0
2015012007;-5.9;100.0
2015012008;-5.8;100.0
2015012009;-5.5;100.0
2015012010;-5.2;100.0
2015012011;-5.2;100.0
2015012012;-5.3;100.0
2015012013;-5.6;100.0
2015012014;-5.7;100.0
2015012015;-6.4;100.0
2015012016;-6.7;100.0
2015012017;-7.0;100.0
2015012018;-7.1;100.0
2015012019;-7.5;100.0
2015012020;-8.0;100.0
2015012021;-8.4;100.0
2015012022;-8.6;100.0
2015012023;-9.0;100.0
2015012100;-9.2;100.0
2015012101;-9.3;100.0
2015012102;-9.3;100.0
2015012103;-9.4;100.0
2015012104;-9.2;100.0
2015012105;-8.9;100.0
2015012106;-9.2;100.0
2015012107;-9.3;100.0
2015012108;-8.9;100.0
2015012109;-8.1;100.0
2015012110;-7.4;100.0
2015012111;-7.4;100.0
2015012112;-6.6;100.0
2015012113;-6.9;100.0
2015012114;-7.2;100.0
2015012115;-8.0;100.0
2015012116;-8.6;100.0
2015012117;-8.8;100.0
2015012118;-8.8;100.0
2015012119;-8.6;100.0
2015012120;-8.2;100.0
2015012121;-8.4;100.0
2015012122;-8.4;100.0
2015012123;-8.4;100.0
2015012200;-8.3;100.0
2015012201;-7.7;100.0
2015012202;-6.4;99.0
2015012203;-1.8;52.0
2015012204;-5.1;75.0
2015012205;-7.8;100.0
2015012206;-6.3;100.0
2015012207;-5.5;100.0
2015012208;-5.2;100.0
2015012209;-5.2;100.0
2015012210;-4.9;100.0
2015012211;-4.7;100.0
2015012212;-4.6;100.0
2015012213;-4.9;100.0
2015012214;-5.0;100.0
2015012215;-4.6;100.0
