MESS_DATUM;TT_TU;RF_TU
2023061700;9.7;100.0
2023061701;9.5;100.0
2023061702;9.5;100.0
2023061703;9.4;100.0
2023061704;9.3;100.0
2023061705;9.6;97.0
2023061706;10.4;83.0
2023061707;11.5;79.0
2023061708;13.0;73.0
2023061709;14.3;64.0
2023061710;16.5;67.0
2023061711;16.0;70.0
2023061712;15.3;71.0
2023061713;17.0;68.0
2023061714;16.3;67.0
2023061715;15.2;73.0
2023061716;14.7;73.0
2023061717;14.6;70.0
2023061718;13.8;68.0
2023061719;12.9;78.0
2023061720;12.2;79.0
2023061721;12.1;83.0
2023061722;12.1;82.0
2023061723;12.0;82.0
2023061800;11.9;81.0
2023061801;11.8;80.0
2023061802;11.4;81.0
2023061803;11.4;81.0
2023061804;12.0;80.0
2023061805;13.4;74.0
2023061806;15.3;68.0
2023061807;16.0;70.0
2023061808;16.9;64.0
2023061809;16.7;63.0
2023061810;16.4;63.0
2023061811;16.3;62.0
2023061812;17.0;57.0
2023061813;17.5;56.0
2023061814;17.5;55.0
2023061815;17.7;54.0
2023061816;18.4;52.0
2023061817;17.0;56.0
2023061818;16.7;58.0
2023061819;15.9;61.0
2023061820;15.4;58.0
2023061821;15.3;57.0
2023061822;15.2;55.0
2023061823;15.2;56.0
2023061900;15.0;58.0
2023061901;15.0;58.0
2023061902;14.8;58.0
2023061903;15.4;57.0
2023061904;15.4;57.0
2023061905;16.7;58.0
2023061906;15.6;59.0
2023061907;16.7;57.0
2023061908;16.6;55.0
2023061909;17.8;51.0
2023061910;19.2;53.0
2023061911;19.9;55.0
2023061912;20.1;58.0
2023061913;19.1;61.0
2023061914;19.3;62.0
2023061915;19.6;60.0
2023061916;19.6;73.0
2023061917;17.8;79.0
2023061918;17.0;81.0
2023061919;15.5;87.0
2023061920;14.7;87.0
2023061921;14.3;85.0
2023061922;14.5;79.0
2023061923;15.4;83.0
2023062000;15.2;67.0
2023062001;15.5;72.0
2023062002;15.6;73.0
2023062003;15.4;74.0
2023062004;14.7;81.0
2023062005;15.1;75.0
2023062006;12.5;100.0
2023062007;12.8;100.0
2023062008;14.8;80.0
2023062009;15.3;89.0
2023062010;14.8;88.0
2023062011;16.5;90.0
2023062012;16.7;86.0
2023062013;17.2;84.0
2023062014;17.5;83.0
2023062015;17.7;83.0
2023062016;17.9;84.0
2023062017;18.0;87.0
2023062018;18.1;87.0
2023062019;17.4;91.0
2023062020;17.3;93.0
2023062021;17.6;86.0
2023062022;17.1;93.0
2023062023;16.8;96.0
2023062100;14.9;100.0
2023062101;15.0;100.0
2023062102;14.2;100.0
2023062103;13.8;100.0
2023062104;14.0;100.0
2023062105;13.9;100.0
2023062106;13.8;100.0
2023062107;13.8;95.0
2023062108;15.5;88.0
2023062109;17.0;83.0
2023062110;17.9;78.0
2023062111;18.7;72.0
2023062112;17.7;78.0
2023062113;18.7;68.0
2023062114;19.3;68.0
2023062115;18.7;71.0
2023062116;18.0;77.0
2023062117;17.2;82.0
2023062118;16.5;86.0
2023062119;15.6;91.0
2023062120;14.8;90.0
2023062121;15.4;82.0
2023062122;15.1;84.0
2023062123;15.0;85.0
2023062200;15.4;81.0
2023062201;15.3;84.0
2023062202;15.0;86.0
2023062203;14.8;88.0
2023062204;15.2;85.0
2023062205;15.1;83.0
2023062206;15.2;84.0
2023062207;15.5;85.0
2023062208;16.4;82.0
2023062209;16.9;81.0
2023062210;18.0;79.0
2023062211;18.1;78.0
2023062212;18.2;81.0
2023062213;19.2;75.0
2023062214;19.7;74.0
2023062215;19.3;75.0
2023062216;18.6;76.0
2023062217;12.3;100.0
2023062218;14.5;100.0
2023062219;14.2;95.0
2023062220;13.0;98.0
2023062221;16.7;67.0
2023062222;16.4;74.0
2023062223;12.6;100.0
2023062300;12.6;100.0
2023062301;13.0;99.0
2023062302;13.0;100.0
2023062303;13.6;100.0
2023062304;13.3;100.0
2023062305;13.4;100.0
2023062306;13.0;100.0
2023062307;13.2;100.0
2023062308;11.2;100.0
