MESS_DATUM;F;D
2015010100;13.5;270
2015010101;14.7;280
2015010102;13.6;280
2015010103;13.0;280
2015010104;14.4;270
2015010105;13.5;270
2015010106;13.0;270
2015010107;14.4;270
2015010108;16.0;260
2015010109;14.7;260
2015010110;12.7;250
2015010111;13.9;260
2015010112;15.0;260
2015010113;15.5;260
2015010114;15.3;260
2015010115;15.5;250
2015010116;15.8;260
2015010117;17.0;250
2015010118;16.2;250
2015010119;18.1;240
2015010120;19.9;240
2015010121;21.1;240
2015010122;24.2;230
2015010123;26.7;230
2015010200;27.1;240
2015010201;27.7;230
2015010202;27.6;240
2015010203;28.0;240
2015010204;27.1;240
2015010205;26.9;240
2015010206;26.9;250
2015010207;25.9;240
2015010208;24.4;250
2015010209;22.6;250
2015010210;24.7;250
2015010211;25.2;260
2015010212;24.6;260
2015010213;22.3;270
2015010214;23.3;270
2015010215;21.2;270
2015010216;20.1;270
2015010217;20.3;280
2015010218;19.6;270
2015010219;19.1;270
2015010220;16.5;270
2015010221;17.2;270
2015010222;19.7;270
2015010223;18.8;270
2015010300;18.9;270
2015010301;19.9;270
2015010302;19.8;280
2015010303;19.1;270
2015010304;18.4;270
2015010305;16.2;270
2015010306;17.4;260
2015010307;19.9;260
2015010308;20.3;250
2015010309;19.7;250
2015010310;21.8;250
2015010311;21.7;250
2015010312;20.0;250
2015010313;17.8;250
2015010314;18.3;260
2015010315;17.4;260
2015010316;15.5;260
2015010317;14.8;260
2015010318;13.3;270
2015010319;12.2;270
2015010320;12.0;280
2015010321;13.7;290
2015010322;13.3;300
2015010323;13.8;300
2015010400;14.8;320
2015010401;14.5;320
2015010402;15.2;310
2015010403;15.3;310
2015010404;15.0;310
2015010405;15.6;310
2015010406;14.3;310
2015010407;14.4;310
2015010408;14.3;320
2015010409;14.9;320
2015010410;14.1;320
2015010411;14.5;320
2015010412;15.6;320
2015010413;15.6;320
2015010414;15.3;320
2015010415;15.3;320
2015010416;16.0;320
2015010417;14.8;320
2015010418;15.6;330
2015010419;15.1;330
2015010420;14.9;330
2015010421;13.5;320
2015010422;13.4;310
2015010423;13.1;320
2015010500;13.1;310
2015010501;13.8;300
2015010502;16.2;290
2015010503;17.6;280
2015010504;18.5;270
2015010505;19.5;270
2015010506;18.7;280
2015010507;18.2;280
2015010508;16.3;270
2015010509;16.7;270
2015010510;16.7;280
2015010511;16.2;280
2015010512;16.0;280
2015010513;15.8;280
2015010514;14.7;280
2015010515;14.0;290
2015010516;14.8;300
2015010517;13.1;310
2015010518;11.8;310
2015010519;12.4;290
2015010520;11.2;290
2015010521;9.3;310
2015010522;5.3;320
2015010523;2.7;340
2015010600;1.8;100
2015010601;2.4;160
2015010602;4.7;160
2015010603;5.7;160
2015010604;3.9;240
2015010605;4.1;290
2015010606;3.8;320
2015010607;3.3;320
2015010608;4.0;260
2015010609;6.5;230
2015010610;6.1;210
2015010611;6.2;210
2015010612;6.2;210
2015010613;8.7;220
2015010614;11.0;230
2015010615;12.3;260
2015010616;14.3;260
2015010617;14.6;250
2015010618;14.5;240
2015010619;13.1;240
2015010620;14.3;230
2015010621;13.7;240
2015010622;14.2;240
2015010623;16.7;240
2015010700;16.0;270
2015010701;14.6;280
2015010702;13.0;270
2015010703;13.6;260
2015010704;14.7;260
2015010705;13.8;270
2015010706;12.0;280
2015010707;12.2;280
2015010708;11.8;300
2015010709;12.0;300
2015010710;11.3;300
2015010711;10.9;290
2015010712;11.9;280
2015010713;14.0;270
2015010714;15.0;270
2015010715;14.2;260
2015010716;13.1;260
2015010717;13.5;250
2015010718;14.5;240
2015010719;14.5;240
2015010720;13.2;230
2015010721;13.5;220
2015010722;14.3;220
2015010723;13.8;220
2015010800;16.7;220
2015010801;17.7;230
2015010802;16.8;230
2015010803;18.0;230
2015010804;19.2;230
2015010805;19.7;230
2015010806;19.8;240
2015010807;18.6;240
2015010808;16.0;240
2015010809;15.3;240
2015010810;15.9;240
2015010811;17.7;240
2015010812;18.0;230
2015010813;19.1;230
2015010814;21.3;230
2015010815;22.9;230
2015010816;22.5;230
2015010817;24.9;240
2015010818;24.3;240
2015010819;23.1;250
2015010820;17.7;280
2015010821;16.6;320
2015010822;17.9;290
2015010823;19.9;280
2015010900;20.9;270
2015010901;22.8;260
2015010902;23.8;260
2015010903;23.5;250
2015010904;26.0;250
2015010905;26.9;240
2015010906;30.9;240
2015010907;32.8;230
2015010908;36.4;230
2015010909;33.3;230
2015010910;31.0;240
2015010911;28.3;240
2015010912;29.2;250
2015010913;28.9;260
2015010914;28.2;260
2015010915;28.5;270
2015010916;24.8;270
2015010917;22.2;280
2015010918;23.3;270
2015010919;25.1;270
2015010920;24.5;260
2015010921;23.8;260
2015010922;24.0;260
2015010923;24.2;260
2015011000;25.1;260
2015011001;25.9;270
2015011002;24.7;270
2015011003;24.6;270
2015011004;24.5;270
2015011005;25.5;270
2015011006;25.2;260
2015011007;24.2;260
2015011008;26.0;250
2015011009;26.6;250
2015011010;29.1;250
2015011011;30.5;250
2015011012;31.0;250
2015011013;29.2;250
2015011014;29.1;250
2015011015;30.1;250
2015011016;27.7;260
2015011017;22.4;290
2015011018;22.2;280
2015011019;21.2;280
2015011020;18.8;280
2015011021;19.0;280
2015011022;20.0;280
2015011023;20.3;270
2015011100;19.6;270
2015011101;21.3;270
2015011102;21.9;270
2015011103;22.7;270
2015011104;21.6;270
2015011105;21.0;270
2015011106;21.1;260
2015011107;21.5;260
2015011108;21.6;260
2015011109;22.2;270
2015011110;21.8;260
2015011111;23.1;260
2015011112;22.2;270
2015011113;20.6;270
2015011114;17.9;280
2015011115;20.1;280
2015011116;21.4;270
2015011117;21.9;280
2015011118;21.3;270
2015011119;22.8;270
2015011120;20.8;270
2015011121;20.6;260
2015011122;22.1;270
2015011123;21.9;270
2015011200;20.7;270
2015011201;21.1;270
2015011202;21.4;260
2015011203;21.4;260
2015011204;21.8;260
2015011205;21.3;260
2015011206;20.6;250
2015011207;21.9;250
2015011208;23.5;250
2015011209;23.4;240
2015011210;24.7;240
2015011211;25.3;240
2015011212;27.1;240
2015011213;27.4;240
2015011214;27.6;240
2015011215;28.1;240
2015011216;27.5;240
2015011217;26.6;240
2015011218;26.2;240
2015011219;25.1;240
2015011220;24.4;240
2015011221;25.0;240
2015011222;24.7;240
2015011223;24.9;240
2015011300;24.7;240
2015011301;24.7;240
2015011302;23.9;240
2015011303;24.3;240
2015011304;23.7;240
2015011305;22.1;230
2015011306;24.8;230
2015011307;24.4;230
2015011308;24.7;230
2015011309;24.4;230
2015011310;24.0;230
2015011311;24.6;230
2015011312;26.7;230
2015011313;27.4;230
2015011314;28.4;220
2015011315;27.4;230
2015011316;27.1;230
2015011317;27.5;230
2015011318;27.7;240
2015011319;24.1;240
2015011320;22.7;230
2015011321;21.5;240
2015011322;20.3;250
2015011323;19.8;250
2015011400;17.9;250
2015011401;17.9;250
2015011402;17.4;240
2015011403;18.9;230
2015011404;18.3;220
2015011405;21.0;220
2015011406;24.9;240
2015011407;20.9;270
2015011408;20.2;250
2015011409;20.6;240
2015011410;20.8;240
2015011411;21.3;230
2015011412;21.2;230
2015011413;21.6;230
2015011414;19.6;220
2015011415;18.7;230
2015011416;19.1;240
2015011417;19.1;260
2015011418;19.6;270
2015011419;19.7;270
2015011420;18.1;270
2015011421;16.8;260
2015011422;17.2;250
2015011423;17.3;240
2015011500;17.4;230
2015011501;17.8;220
2015011502;19.3;210
2015011503;19.8;210
2015011504;21.3;210
2015011505;21.2;210
2015011506;21.1;200
2015011507;23.4;210
2015011508;22.4;210
2015011509;22.0;210
2015011510;23.4;210
2015011511;21.9;210
2015011512;22.0;210
2015011513;23.0;210
2015011514;24.9;210
2015011515;24.3;220
2015011516;25.6;220
2015011517;28.4;220
2015011518;29.3;220
2015011519;29.1;220
2015011520;28.4;220
2015011521;24.5;220
2015011522;23.8;220
2015011523;23.6;230
2015011600;22.2;220
2015011601;19.9;230
2015011602;19.3;240
2015011603;20.9;230
2015011604;21.7;240
2015011605;21.0;240
2015011606;19.4;230
2015011607;18.2;230
2015011608;17.7;230
2015011609;16.6;230
2015011610;15.7;240
2015011611;12.9;240
2015011612;11.5;240
2015011613;10.0;230
2015011614;8.0;220
2015011615;8.6;200
2015011616;8.1;200
2015011617;7.9;210
2015011618;5.7;210
2015011619;2.8;210
2015011620;2.4;40
2015011621;2.1;50
2015011622;1.8;50
2015011623;5.3;300
2015011700;7.2;300
2015011701;9.5;300
2015011702;9.6;290
2015011703;11.0;280
2015011704;12.2;280
2015011705;11.5;280
2015011706;9.4;290
2015011707;8.9;310
2015011708;9.3;290
2015011709;10.0;280
2015011710;10.5;280
2015011711;8.9;270
2015011712;8.3;270
2015011713;8.3;270
2015011714;8.1;270
2015011715;8.0;270
2015011716;7.6;260
2015011717;6.3;250
2015011718;7.1;250
2015011719;8.8;250
2015011720;8.5;260
2015011721;8.0;250
2015011722;9.4;230
2015011723;11.3;230
2015011800;12.2;230
2015011801;12.1;230
2015011802;13.2;230
2015011803;14.1;220
2015011804;15.5;230
2015011805;17.0;230
2015011806;14.9;230
2015011807;15.2;220
2015011808;15.6;230
2015011809;15.0;220
2015011810;14.7;220
2015011811;14.2;220
2015011812;14.1;230
2015011813;13.0;230
2015011814;11.6;220
2015011815;11.5;220
2015011816;12.1;210
2015011817;11.7;210
2015011818;9.7;200
2015011819;9.3;210
2015011820;9.7;220
2015011821;9.5;220
2015011822;10.4;230
2015011823;10.7;240
2015011900;10.5;230
2015011901;8.7;220
2015011902;8.6;230
2015011903;8.0;230
2015011904;6.6;220
2015011905;5.7;210
2015011906;7.6;210
2015011907;8.9;200
2015011908;9.0;190
2015011909;10.9;180
2015011910;10.8;180
2015011911;12.2;180
2015011912;10.8;180
2015011913;8.3;180
2015011914;6.2;180
2015011915;4.8;180
2015011916;4.8;180
2015011917;4.4;200
2015011918;4.3;200
2015011919;4.3;190
2015011920;4.6;210
2015011921;4.3;220
2015011922;4.2;230
2015011923;4.4;220
2015012000;5.8;230
2015012001;6.6;240
2015012002;6.1;240
2015012003;4.5;240
2015012004;3.1;240
2015012005;2.1;280
2015012006;0.8;130
2015012007;2.0;110
