MESS_DATUM;F;D
2023061700;7.7;320
2023061701;6.7;310
2023061702;6.9;310
2023061703;7.9;300
2023061704;7.7;300
2023061705;7.9;290
2023061706;7.7;300
2023061707;7.4;300
2023061708;5.9;310
2023061709;5.2;310
2023061710;4.3;310
2023061711;4.1;310
2023061712;4.6;310
2023061713;4.9;320
2023061714;6.2;330
2023061715;6.4;340
2023061716;7.0;340
2023061717;6.5;340
2023061718;6.0;340
2023061719;4.9;330
2023061720;4.9;340
2023061721;5.0;320
2023061722;5.7;320
2023061723;5.8;320
2023061800;5.5;330
2023061801;4.8;320
2023061802;4.3;340
2023061803;3.9;310
2023061804;4.2;280
2023061805;4.9;300
2023061806;4.1;320
2023061807;4.3;320
2023061808;4.1;330
2023061809;2.9;340
2023061810;3.3;10
2023061811;2.8;20
2023061812;2.7;40
2023061813;2.1;50
2023061814;2.2;70
2023061815;2.5;70
2023061816;2.8;60
2023061817;3.8;90
2023061818;3.5;90
2023061819;4.4;100
2023061820;5.7;110
2023061821;7.7;140
2023061822;8.2;150
2023061823;8.9;170
2023061900;9.4;170
2023061901;10.5;180
2023061902;10.8;180
2023061903;10.6;180
2023061904;10.3;190
2023061905;9.5;220
2023061906;9.8;220
2023061907;8.6;200
2023061908;8.6;200
2023061909;6.2;210
2023061910;5.9;230
2023061911;5.2;240
2023061912;4.5;220
2023061913;6.4;220
2023061914;7.8;220
2023061915;6.7;240
2023061916;3.9;260
2023061917;4.0;330
2023061918;4.2;340
2023061919;4.1;350
2023061920;3.4;350
2023061921;3.6;340
2023061922;3.3;340
2023061923;1.5;10
2023062000;1.8;70
2023062001;2.5;80
2023062002;3.0;90
2023062003;2.9;110
2023062004;4.0;120
2023062005;5.1;120
2023062006;8.6;160
2023062007;8.5;180
2023062008;6.2;170
2023062009;4.5;130
2023062010;5.2;160
2023062011;6.8;180
2023062012;7.0;180
2023062013;7.5;190
2023062014;7.4;200
2023062015;7.4;200
2023062016;7.3;200
2023062017;6.8;200
2023062018;5.4;200
2023062019;5.1;180
2023062020;7.6;180
2023062021;8.7;190
2023062022;8.5;180
2023062023;7.2;180
2023062100;7.9;220
2023062101;11.5;210
2023062102;12.3;250
2023062103;11.3;260
2023062104;10.8;260
2023062105;10.4;260
2023062106;10.3;270
2023062107;10.0;270
2023062108;7.8;260
2023062109;8.8;260
2023062110;7.5;260
2023062111;7.3;260
2023062112;6.4;260
2023062113;7.2;260
2023062114;6.1;280
2023062115;5.2;280
2023062116;4.4;290
2023062117;3.6;330
2023062118;3.6;340
2023062119;4.1;360
2023062120;4.1;350
2023062121;3.5;30
2023062122;3.0;60
2023062123;3.0;90
2023062200;2.9;120
2023062201;3.4;110
2023062202;4.0;110
2023062203;4.3;110
2023062204;4.3;140
2023062205;5.9;140
2023062206;5.2;130
2023062207;5.4;140
2023062208;4.9;160
2023062209;5.9;160
2023062210;6.7;150
2023062211;6.8;140
2023062212;6.6;130
2023062213;7.5;120
2023062214;8.2;110
2023062215;9.1;90
2023062216;11.1;90
2023062217;10.9;170
2023062218;6.3;140
2023062219;6.3;80
2023062220;13.2;210
2023062221;8.7;230
2023062222;7.1;210
2023062223;6.2;130
2023062300;7.2;120
2023062301;9.7;140
2023062302;9.1;140
2023062303;9.4;170
2023062304;10.0;190
2023062305;5.9;200
2023062306;2.1;200
2023062307;2.2;310
2023062308;8.4;360
2023062309;12.5;360
2023062310;16.6;350
2023062311;17.5;350
2023062312;19.3;360
2023062313;17.1;360
2023062314;16.0;360
2023062315;15.5;360
2023062316;13.6;350
2023062317;11.7;340
2023062318;10.5;350
2023062319;8.3;330
2023062320;8.1;320
2023062321;8.1;300
2023062322;9.8;290
2023062323;10.4;300
2023062400;10.4;300
2023062401;10.2;310
2023062402;9.7;310
2023062403;10.9;320
2023062404;12.3;320
2023062405;13.3;330
2023062406;11.8;330
2023062407;8.6;340
2023062408;6.6;320
2023062409;5.5;320
2023062410;6.3;320
2023062411;4.8;320
2023062412;4.0;330
2023062413;3.6;330
2023062414;3.7;320
2023062415;4.2;330
2023062416;3.8;350
2023062417;4.1;340
2023062418;4.4;350
2023062419;4.6;340
2023062420;3.1;350
2023062421;3.5;330
2023062422;2.5;340
2023062423;1.6;300
2023062500;1.6;280
2023062501;1.6;240
2023062502;0.4;70
2023062503;1.3;230
2023062504;2.3;210
2023062505;3.1;200
2023062506;2.5;210
2023062507;1.5;190
2023062508;2.1;150
2023062509;1.9;170
2023062510;2.3;170
2023062511;2.4;180
2023062512;3.2;200
2023062513;2.7;220
2023062514;2.4;200
2023062515;1.5;50
2023062516;1.7;200
2023062517;3.2;200
2023062518;4.0;200
2023062519;4.6;210
2023062520;4.9;190
2023062521;5.8;190
2023062522;5.8;190
2023062523;5.8;190
2023062600;6.2;190
2023062601;6.2;190
2023062602;6.7;200
2023062603;7.2;200
2023062604;7.8;210
2023062605;8.2;220
2023062606;9.2;230
2023062607;9.4;230
2023062608;9.8;230
2023062609;10.7;230
2023062610;9.2;240
2023062611;9.2;230
2023062612;10.4;260
2023062613;11.2;270
