MESS_DATUM;TT_TU;RF_TU
2015010100;-2.1;95.0
2015010101;-1.9;93.0
2015010102;-2.0;94.0
2015010103;-4.3;96.0
2015010104;-8.9;95.0
2015010105;-9.7;95.0
2015010106;-6.4;93.0
2015010107;-5.8;93.0
2015010108;-7.5;95.0
2015010109;-5.8;93.0
2015010110;-4.8;93.0
2015010111;-2.3;87.0
2015010112;-1.1;90.0
2015010113;-0.6;82.0
2015010114;-0.8;81.0
2015010115;-1.4;84.0
2015010116;-3.8;92.0
2015010117;-6.3;98.0
2015010118;-4.6;97.0
2015010119;-5.2;98.0
2015010120;-3.5;98.0
2015010121;-3.6;98.0
2015010122;-4.7;97.0
2015010123;-6.3;95.0
2015010200;-6.8;97.0
2015010201;-7.5;96.0
2015010202;-7.9;94.0
2015010203;-8.7;95.0
2015010204;-8.3;96.0
2015010205;-8.5;95.0
2015010206;-9.6;91.0
2015010207;-7.0;95.0
2015010208;-6.7;95.0
2015010209;-5.5;93.0
2015010210;-3.5;95.0
2015010211;-1.3;97.0
2015010212;0.6;94.0
2015010213;3.0;87.0
2015010214;3.8;84.0
2015010215;3.4;87.0
2015010216;3.1;90.0
2015010217;3.1;90.0
2015010218;3.1;88.0
2015010219;3.0;92.0
2015010220;3.3;88.0
2015010221;2.7;92.0
2015010222;2.7;92.0
2015010223;2.4;92.0
2015010300;2.5;88.0
2015010301;2.2;89.0
2015010302;1.4;92.0
2015010303;1.3;92.0
2015010304;1.4;88.0
2015010305;0.3;94.0
2015010306;0.4;95.0
2015010307;0.9;93.0
2015010308;0.7;94.0
2015010309;1.4;89.0
2015010310;2.1;85.0
2015010311;2.9;81.0
2015010312;2.8;82.0
2015010313;2.9;85.0
2015010314;2.5;92.0
2015010315;0.3;99.0
2015010316;0.3;99.0
2015010317;0.4;99.0
2015010318;0.8;98.0
2015010319;0.7;98.0
2015010320;0.7;99.0
2015010321;1.9;98.0
2015010322;1.1;99.0
2015010323;1.9;93.0
2015010400;1.3;93.0
2015010401;1.3;90.0
2015010402;1.4;91.0
2015010403;1.3;91.0
2015010404;1.6;88.0
2015010405;1.3;88.0
2015010406;1.5;85.0
2015010407;1.5;85.0
2015010408;1.4;83.0
2015010409;1.4;84.0
2015010410;1.5;80.0
2015010411;1.6;79.0
2015010412;1.9;75.0
2015010413;1.7;78.0
2015010414;1.8;76.0
2015010415;1.8;79.0
2015010416;1.6;80.0
2015010417;1.6;80.0
2015010418;1.8;79.0
2015010419;1.6;80.0
2015010420;1.6;81.0
2015010421;1.5;83.0
2015010422;1.4;83.0
2015010423;1.3;83.0
2015010500;1.2;83.0
2015010501;1.0;84.0
2015010502;1.1;82.0
2015010503;1.0;84.0
2015010504;1.0;82.0
2015010505;0.9;83.0
2015010506;0.9;81.0
2015010507;0.9;81.0
2015010508;0.4;85.0
2015010509;0.6;83.0
2015010510;0.9;79.0
2015010511;1.7;75.0
2015010512;2.5;68.0
2015010513;2.4;65.0
2015010514;3.3;64.0
2015010515;3.8;62.0
2015010516;1.6;72.0
2015010517;0.9;72.0
2015010518;0.8;71.0
2015010519;0.4;72.0
2015010520;0.5;74.0
2015010521;-0.2;78.0
2015010522;-0.4;78.0
2015010523;-0.5;78.0
2015010600;-1.4;86.0
2015010601;-1.2;84.0
2015010602;-0.8;84.0
2015010603;-0.8;83.0
2015010604;-1.3;85.0
2015010605;-1.6;87.0
2015010606;-0.7;82.0
2015010607;-1.1;86.0
2015010608;-0.9;88.0
2015010609;-0.5;85.0
2015010610;0.3;77.0
2015010611;1.4;73.0
2015010612;2.1;70.0
2015010613;3.0;69.0
2015010614;3.4;67.0
2015010615;2.3;69.0
2015010616;1.0;76.0
2015010617;0.2;77.0
2015010618;-0.6;81.0
2015010619;-0.9;84.0
2015010620;-1.5;86.0
2015010621;-3.0;92.0
2015010622;-4.0;94.0
2015010623;-4.5;96.0
2015010700;-4.3;94.0
2015010701;-4.7;93.0
2015010702;-5.3;94.0
2015010703;-5.6;93.0
2015010704;-4.6;94.0
2015010705;-3.0;95.0
2015010706;0.1;87.0
2015010707;0.8;89.0
2015010708;1.0;92.0
2015010709;1.9;89.0
2015010710;2.0;91.0
2015010711;1.9;93.0
2015010712;2.2;94.0
2015010713;2.0;92.0
2015010714;2.1;93.0
2015010715;1.8;93.0
2015010716;1.0;96.0
2015010717;0.9;93.0
2015010718;0.5;97.0
2015010719;0.5;96.0
2015010720;1.0;92.0
2015010721;0.6;95.0
2015010722;0.4;96.0
2015010723;0.4;96.0
2015010800;-0.2;97.0
2015010801;0.8;96.0
2015010802;-0.3;97.0
2015010803;0.6;96.0
2015010804;1.0;96.0
2015010805;1.2;93.0
2015010806;1.5;89.0
2015010807;1.6;87.0
2015010808;1.6;89.0
2015010809;3.0;82.0
2015010810;3.9;81.0
2015010811;4.7;77.0
2015010812;6.0;75.0
2015010813;7.3;69.0
2015010814;7.4;70.0
2015010815;7.7;68.0
2015010816;7.2;70.0
2015010817;7.9;66.0
2015010818;8.1;66.0
2015010819;8.3;64.0
2015010820;8.8;65.0
2015010821;8.2;71.0
2015010822;8.2;71.0
2015010823;7.0;82.0
2015010900;6.4;83.0
2015010901;5.2;82.0
2015010902;5.7;73.0
2015010903;5.0;86.0
2015010904;4.8;85.0
2015010905;4.4;88.0
2015010906;5.3;82.0
2015010907;5.7;82.0
2015010908;6.2;79.0
2015010909;6.6;77.0
2015010910;7.4;70.0
2015010911;9.1;59.0
2015010912;8.9;55.0
2015010913;9.0;55.0
2015010914;9.3;59.0
2015010915;8.7;62.0
2015010916;8.4;69.0
2015010917;8.3;74.0
2015010918;8.1;79.0
2015010919;8.4;80.0
2015010920;8.3;87.0
2015010921;8.5;88.0
2015010922;8.8;89.0
2015010923;9.2;87.0
2015011000;9.7;88.0
2015011001;10.7;82.0
2015011002;11.0;82.0
2015011003;11.3;83.0
2015011004;11.8;80.0
2015011005;12.0;78.0
2015011006;12.5;77.0
2015011007;12.8;77.0
2015011008;13.3;74.0
2015011009;13.8;70.0
2015011010;13.8;70.0
2015011011;15.3;65.0
2015011012;15.6;64.0
2015011013;15.1;63.0
2015011014;15.4;60.0
2015011015;14.2;64.0
2015011016;13.6;65.0
2015011017;13.5;66.0
2015011018;14.0;64.0
2015011019;13.6;62.0
2015011020;13.5;59.0
2015011021;12.5;64.0
2015011022;12.5;62.0
2015011023;11.9;65.0
2015011100;11.4;67.0
2015011101;7.8;91.0
2015011102;6.8;90.0
2015011103;6.0;90.0
2015011104;5.5;91.0
2015011105;4.2;94.0
2015011106;2.3;92.0
2015011107;1.1;95.0
2015011108;0.4;98.0
2015011109;0.8;96.0
2015011110;2.8;81.0
2015011111;3.0;77.0
2015011112;2.5;82.0
2015011113;3.2;80.0
2015011114;2.9;84.0
2015011115;1.8;85.0
2015011116;1.6;79.0
2015011117;1.8;80.0
2015011118;2.0;77.0
