MESS_DATUM;V_N
2015010100;1
2015010101;-1
2015010102;-1
2015010103;-1
2015010104;-1
2015010105;-1
2015010106;-1
2015010107;-1
2015010108;-1
2015010109;6
2015010110;5
2015010111;6
2015010112;6
2015010113;6
2015010114;5
2015010115;7
2015010116;7
2015010117;7
2015010118;8
2015010119;8
2015010120;7
2015010121;7
2015010122;3
2015010123;3
2015010200;5
2015010201;6
2015010202;7
2015010203;7
2015010204;8
2015010205;8
2015010206;8
2015010207;8
2015010208;8
2015010209;7
2015010210;8
2015010211;8
2015010212;7
2015010213;6
2015010214;6
2015010215;6
2015010216;5
2015010217;2
2015010218;1
2015010219;2
2015010220;5
2015010221;7
2015010222;5
2015010223;4
2015010300;5
2015010301;7
2015010302;7
2015010303;8
2015010304;8
2015010305;8
2015010306;7
2015010307;7
2015010308;7
2015010309;8
2015010310;8
2015010311;8
2015010312;8
2015010313;8
2015010314;8
2015010315;8
2015010316;8
2015010317;8
2015010318;8
2015010319;8
2015010320;8
2015010321;8
2015010322;8
2015010323;8
2015010400;8
2015010401;8
2015010402;7
2015010403;6
2015010404;3
2015010405;3
2015010406;4
2015010407;2
2015010408;1
2015010409;0
2015010410;1
2015010411;2
2015010412;4
2015010413;5
2015010414;3
2015010415;4
2015010416;4
2015010417;2
2015010418;4
2015010419;6
2015010420;7
2015010421;6
2015010422;7
2015010423;5
2015010500;5
2015010501;6
2015010502;4
2015010503;7
2015010504;7
2015010505;6
2015010506;7
2015010507;1
2015010508;1
2015010509;1
2015010510;1
2015010511;2
2015010512;3
2015010513;3
2015010514;3
2015010515;4
2015010516;4
2015010517;3
2015010518;7
2015010519;7
2015010520;5
2015010521;5
2015010522;5
2015010523;4
2015010600;1
2015010601;1
2015010602;1
2015010603;0
2015010604;2
2015010605;2
2015010606;2
2015010607;3
2015010608;5
2015010609;6
2015010610;7
2015010611;7
2015010612;7
2015010613;7
2015010614;7
2015010615;7
2015010616;7
2015010617;7
2015010618;7
2015010619;8
2015010620;8
2015010621;8
2015010622;8
2015010623;8
2015010700;8
2015010701;8
2015010702;8
2015010703;8
2015010704;8
2015010705;8
2015010706;8
2015010707;7
2015010708;7
2015010709;7
2015010710;7
2015010711;4
2015010712;5
2015010713;6
2015010714;6
2015010715;6
2015010716;6
2015010717;7
2015010718;7
2015010719;7
2015010720;7
2015010721;7
2015010722;7
2015010723;7
2015010800;8
2015010801;8
2015010802;8
2015010803;8
2015010804;8
2015010805;8
2015010806;8
2015010807;8
2015010808;8
2015010809;8
2015010810;8
2015010811;8
2015010812;8
2015010813;8
2015010814;8
2015010815;8
2015010816;8
2015010817;8
2015010818;8
2015010819;8
2015010820;8
2015010821;8
2015010822;8
2015010823;7
2015010900;2
2015010901;4
2015010902;6
2015010903;7
2015010904;8
2015010905;7
2015010906;8
2015010907;8
2015010908;8
2015010909;8
2015010910;8
2015010911;8
2015010912;8
2015010913;8
2015010914;7
2015010915;7
2015010916;7
2015010917;8
2015010918;8
2015010919;8
2015010920;8
2015010921;8
2015010922;8
2015010923;8
2015011000;8
2015011001;8
2015011002;7
2015011003;7
2015011004;7
2015011005;7
2015011006;7
2015011007;7
2015011008;7
2015011009;7
2015011010;7
2015011011;7
2015011012;7
2015011013;7
2015011014;7
2015011015;7
