MESS_DATUM;V_N
2015010100;8
2015010101;8
2015010102;8
2015010103;8
2015010104;8
2015010105;6
2015010106;5
2015010107;7
2015010108;7
2015010109;7
2015010110;2
2015010111;1
2015010112;5
2015010113;5
2015010114;5
2015010115;5
2015010116;4
2015010117;4
2015010118;7
2015010119;8
2015010120;8
2015010121;8
2015010122;7
2015010123;8
2015010200;5
2015010201;6
2015010202;6
2015010203;6
2015010204;7
2015010205;8
2015010206;7
2015010207;8
2015010208;8
2015010209;8
2015010210;7
2015010211;7
2015010212;7
2015010213;7
2015010214;7
2015010215;6
2015010216;5
2015010217;6
2015010218;5
2015010219;7
2015010220;7
2015010221;3
2015010222;5
2015010223;6
2015010300;7
2015010301;7
2015010302;7
2015010303;7
2015010304;5
2015010305;2
2015010306;5
2015010307;7
2015010308;7
2015010309;7
2015010310;8
2015010311;8
2015010312;8
2015010313;8
2015010314;8
2015010315;8
2015010316;8
2015010317;7
2015010318;7
2015010319;7
2015010320;7
2015010321;7
2015010322;7
2015010323;7
2015010400;5
2015010401;7
2015010402;7
2015010403;7
2015010404;7
2015010405;7
2015010406;7
2015010407;8
2015010408;4
2015010409;5
2015010410;6
2015010411;7
2015010412;7
2015010413;7
2015010414;6
2015010415;6
2015010416;6
2015010417;4
2015010418;3
2015010419;3
2015010420;2
2015010421;2
2015010422;4
2015010423;6
2015010500;6
2015010501;6
2015010502;7
2015010503;7
2015010504;7
2015010505;7
2015010506;7
2015010507;7
2015010508;7
2015010509;6
2015010510;7
2015010511;7
2015010512;7
2015010513;8
2015010514;8
2015010515;8
2015010516;8
2015010517;8
2015010518;8
2015010519;8
2015010520;8
2015010521;8
2015010522;8
2015010523;8
2015010600;8
2015010601;8
2015010602;8
2015010603;8
2015010604;8
2015010605;8
2015010606;6
2015010607;4
2015010608;6
2015010609;6
2015010610;6
2015010611;7
2015010612;7
2015010613;7
2015010614;7
2015010615;7
2015010616;7
2015010617;8
2015010618;8
2015010619;7
2015010620;7
2015010621;7
2015010622;7
2015010623;7
2015010700;7
2015010701;7
2015010702;7
2015010703;8
2015010704;8
2015010705;8
2015010706;8
2015010707;8
2015010708;8
2015010709;8
2015010710;8
2015010711;7
2015010712;7
2015010713;7
2015010714;7
2015010715;7
2015010716;7
2015010717;3
2015010718;2
2015010719;2
2015010720;3
2015010721;5
2015010722;5
2015010723;5
2015010800;6
2015010801;7
2015010802;7
2015010803;8
