Date,Coal
2015-01-02,48.53
2015-01-05,47.68
2015-01-06,47.15
2015-01-07,46.97
2015-01-08,46.92
2015-01-09,46.8
2015-01-12,46.77
2015-01-13,46.73
2015-01-14,46.43
2015-01-15,46.42
2015-01-16,46.32
2015-01-19,58.05
2015-01-20,45.17
2015-01-21,45.28
2015-01-22,45.33
2015-01-23,45.27
2015-01-26,44.9
2015-01-27,58.6
2015-01-28,46.02
2015-01-29,45.73
2015-01-30,46.32
2015-02-02,47.43
2015-02-03,48.5
2015-02-04,49.2
2015-02-05,49.65
2015-02-06,50.87
2015-02-09,51.0
2015-02-10,51.0
2015-02-11,51.38
2015-02-12,51.53
2015-02-13,51.25
2015-02-16,62.55
2015-02-17,51.12
2015-02-18,51.07
2015-02-19,51.27
2015-02-20,51.53
2015-02-23,52.05
2015-02-24,52.4
2015-02-25,52.55
2015-02-26,52.38
2015-02-27,52.37
2015-03-02,52.37
2015-03-03,52.4
2015-03-04,52.43
2015-03-05,53.32
2015-03-06,52.98
2015-03-09,52.33
2015-03-10,52.33
2015-03-11,52.47
2015-03-12,53.18
2015-03-13,53.13
2015-03-16,53.08
2015-03-17,53.03
2015-03-18,53.02
2015-03-19,53.0
2015-03-20,53.03
2015-03-23,52.97
2015-03-24,52.85
2015-03-25,52.85
2015-03-26,60.9
2015-03-27,51.42
2015-03-30,51.35
2015-03-31,51.08
2015-04-01,51.17
2015-04-02,51.18
2015-04-03,51.18
2015-04-06,51.2
2015-04-07,51.2
2015-04-08,50.9
2015-04-09,50.53
2015-04-10,50.08
2015-04-13,49.9
2015-04-14,49.7
2015-04-15,49.67
2015-04-16,49.53
2015-04-17,49.38
2015-04-20,49.4
2015-04-21,49.03
2015-04-22,48.9
2015-04-23,48.53
2015-04-24,48.38
2015-04-27,48.38
2015-04-28,48.17
2015-04-29,48.12
2015-04-30,47.13
2015-05-01,47.13
2015-05-04,47.13
2015-05-05,47.13
2015-05-06,47.13
2015-05-07,47.13
2015-05-08,46.97
2015-05-11,46.9
2015-05-12,46.88
2015-05-13,46.82
2015-05-14,46.65
2015-05-15,46.78
2015-05-18,46.55
2015-05-19,46.4
2015-05-20,46.18
2015-05-21,45.9
2015-05-22,45.6
2015-05-25,58.75
2015-05-26,44.5
2015-05-27,45.1
2015-05-28,44.8
2015-05-29,44.53
2015-06-01,44.45
2015-06-02,44.42
2015-06-03,44.43
2015-06-04,44.42
2015-06-05,44.3
2015-06-08,44.23
2015-06-09,44.22
2015-06-10,44.07
2015-06-11,43.27
2015-06-12,41.92
2015-06-15,41.67
2015-06-16,41.37
2015-06-17,41.18
2015-06-18,41.18
2015-06-19,58.0
2015-06-22,41.13
2015-06-23,40.88
2015-06-24,40.8
2015-06-25,40.77
2015-06-26,59.1
2015-06-29,40.73
2015-06-30,40.78
2015-07-01,40.82
2015-07-02,40.82
2015-07-03,58.95
2015-07-06,40.8
2015-07-07,40.87
2015-07-08,40.92
2015-07-09,41.02
2015-07-10,41.03
2015-07-13,41.05
2015-07-14,41.05
2015-07-15,41.05
2015-07-16,41.05
2015-07-17,58.4
2015-07-20,43.13
2015-07-21,43.13
2015-07-22,43.13
2015-07-23,43.13
2015-07-24,58.55
2015-07-27,43.13
2015-07-28,58.45
2015-07-29,42.97
2015-07-30,42.88
2015-07-31,56.75
2015-08-03,42.88
2015-08-04,42.88
2015-08-05,42.88
2015-08-06,42.88
2015-08-07,42.88
2015-08-10,42.88
2015-08-11,42.8
2015-08-12,42.88
2015-08-13,42.88
2015-08-14,56.3
2015-08-17,42.88
2015-08-18,42.8
2015-08-19,42.77
2015-08-20,42.77
2015-08-21,55.9
2015-08-24,42.92
2015-08-25,42.93
2015-08-26,55.8
2015-08-27,42.93
2015-08-28,42.93
2015-08-31,42.93
2015-09-01,42.98
2015-09-02,43.0
2015-09-03,42.95
2015-09-04,54.55
2015-09-07,53.65
2015-09-08,42.93
2015-09-09,42.93
2015-09-10,42.5
2015-09-11,53.85
2015-09-14,42.5
2015-09-15,42.5
2015-09-16,42.5
2015-09-17,42.5
2015-09-18,54.1
2015-09-21,42.13
2015-09-22,42.13
2015-09-23,42.22
2015-09-24,42.23
2015-09-25,52.65
2015-09-28,42.25
2015-09-29,42.17
2015-09-30,42.13
2015-10-01,42.13
2015-10-02,51.1
2015-10-05,42.13
2015-10-06,42.05
2015-10-07,52.25
2015-10-08,42.05
2015-10-09,52.4
2015-10-12,42.05
2015-10-13,41.98
2015-10-14,41.93
2015-10-15,41.93
2015-10-16,41.93
2015-10-19,41.93
2015-10-20,41.93
2015-10-21,41.92
2015-10-22,41.83
2015-10-23,52.15
2015-10-26,41.88
2015-10-27,41.88
2015-10-28,41.88
2015-10-29,41.88
2015-10-30,53.25
2015-11-02,41.88
2015-11-03,41.88
2015-11-04,42.05
2015-11-05,42.02
2015-11-06,53.3
2015-11-09,42.02
2015-11-10,41.85
2015-11-11,41.78
2015-11-12,41.78
2015-11-13,41.75
2015-11-16,41.75
2015-11-17,42.08
2015-11-18,42.17
2015-11-19,42.2
2015-11-20,42.28
2015-11-23,42.42
2015-11-24,42.22
2015-11-25,42.08
2015-11-26,53.85
2015-11-27,42.08
2015-11-30,42.95
2015-12-01,42.95
2015-12-02,43.35
2015-12-03,43.4
2015-12-04,48.55
2015-12-07,43.4
2015-12-08,43.1
2015-12-09,42.68
2015-12-10,43.25
2015-12-11,43.1
2015-12-14,47.65
2015-12-15,43.05
2015-12-16,43.05
2015-12-17,43.1
2015-12-18,47.8
2015-12-21,47.6
2015-12-22,43.03
2015-12-23,43.03
2015-12-24,43.03
2015-12-28,43.03
2015-12-29,43.9
2015-12-30,43.33
2015-12-31,43.33
2016-01-04,43.33
2016-01-05,43.33
2016-01-06,43.63
2016-01-07,43.43
2016-01-08,47.15
2016-01-11,43.35
2016-01-12,43.63
2016-01-13,43.25
2016-01-14,43.23
2016-01-15,45.35
2016-01-18,45.3
2016-01-19,43.23
2016-01-20,43.23
2016-01-21,43.2
2016-01-22,45.85
2016-01-25,43.0
2016-01-26,45.7
2016-01-27,43.13
2016-01-28,43.1
2016-01-29,44.75
2016-02-01,43.13
2016-02-02,43.13
2016-02-03,43.13
2016-02-04,43.13
2016-02-05,44.15
2016-02-08,43.08
2016-02-09,43.13
2016-02-10,43.13
2016-02-11,43.13
2016-02-12,43.2
2016-02-15,43.5
2016-02-16,43.17
2016-02-17,43.17
2016-02-18,43.17
2016-02-19,43.17
2016-02-22,43.17
2016-02-23,43.15
2016-02-24,43.85
2016-02-25,44.35
2016-02-26,44.15
2016-02-29,44.15
2016-03-01,43.73
2016-03-02,43.73
2016-03-03,43.58
2016-03-04,43.58
2016-03-07,43.58
2016-03-08,43.58
2016-03-09,43.58
2016-03-10,43.52
2016-03-11,43.52
2016-03-14,43.47
2016-03-15,43.47
2016-03-16,43.47
2016-03-17,43.47
2016-03-18,43.47
2016-03-21,43.47
2016-03-22,43.47
2016-03-23,43.47
2016-03-24,43.47
2016-03-28,44.6
2016-03-29,43.62
2016-03-30,43.62
2016-03-31,43.62
2016-04-01,43.55
2016-04-04,43.6
2016-04-05,43.63
2016-04-06,43.63
2016-04-07,43.63
2016-04-08,43.63
2016-04-11,43.63
2016-04-12,43.63
2016-04-13,43.63
2016-04-14,43.63
2016-04-15,43.63
2016-04-18,43.63
2016-04-19,43.63
2016-04-20,43.63
2016-04-21,43.63
2016-04-22,43.63
2016-04-25,43.5
2016-04-26,45.7
2016-04-27,43.5
2016-04-28,43.5
2016-04-29,43.5
2016-05-02,43.63
2016-05-03,43.5
2016-05-04,43.5
2016-05-05,43.63
2016-05-06,43.63
2016-05-09,43.63
2016-05-10,43.63
2016-05-11,43.63
2016-05-12,43.63
2016-05-13,43.63
2016-05-16,43.5
2016-05-17,43.63
2016-05-18,43.63
2016-05-19,43.63
2016-05-20,43.63
2016-05-23,43.63
2016-05-24,43.63
2016-05-25,48.05
2016-05-26,44.8
2016-05-27,44.8
2016-05-30,50.9
2016-05-31,39.83
2016-06-01,39.75
2016-06-02,39.63
2016-06-03,39.63
2016-06-06,39.63
2016-06-07,39.63
2016-06-08,39.63
2016-06-09,39.63
2016-06-10,39.5
2016-06-13,39.5
2016-06-14,39.5
2016-06-15,39.5
2016-06-16,39.5
2016-06-17,39.5
2016-06-20,39.5
2016-06-21,39.5
2016-06-22,39.5
2016-06-23,39.5
2016-06-24,39.5
2016-06-27,39.5
2016-06-28,39.5
2016-06-29,39.5
2016-06-30,39.5
2016-07-01,39.5
2016-07-04,57.05
2016-07-05,39.5
2016-07-06,39.5
2016-07-07,39.5
2016-07-08,39.5
2016-07-11,39.5
2016-07-12,39.5
2016-07-13,39.5
2016-07-14,39.5
2016-07-15,39.5
2016-07-18,39.5
2016-07-19,39.5
2016-07-20,39.5
2016-07-21,39.5
2016-07-22,39.5
2016-07-25,39.5
2016-07-26,57.1
2016-07-27,39.5
2016-07-28,39.5
2016-07-29,39.5
2016-08-01,39.5
2016-08-02,39.5
2016-08-03,39.5
2016-08-04,39.5
2016-08-05,39.5
2016-08-08,39.5
2016-08-09,39.5
2016-08-10,39.5
2016-08-11,39.5
2016-08-12,39.5
2016-08-15,39.5
2016-08-16,39.5
2016-08-17,39.5
2016-08-18,39.5
2016-08-19,39.5
2016-08-22,39.5
2016-08-23,39.5
2016-08-24,39.5
2016-08-25,39.5
2016-08-26,39.75
2016-08-29,40.0
2016-08-30,40.0
2016-08-31,40.0
2016-09-01,40.5
2016-09-02,40.5
2016-09-05,61.55
2016-09-06,40.0
2016-09-07,40.0
2016-09-08,40.0
2016-09-09,40.0
2016-09-12,40.0
2016-09-13,40.0
2016-09-14,40.0
2016-09-15,40.0
2016-09-16,40.0
2016-09-19,40.0
2016-09-20,40.0
2016-09-21,40.0
2016-09-22,40.0
2016-09-23,40.0
2016-09-26,40.0
2016-09-27,62.25
2016-09-28,40.0
2016-09-29,40.0
2016-09-30,40.0
2016-10-03,40.0
2016-10-04,40.0
2016-10-05,40.0
2016-10-06,40.0
2016-10-07,40.0
2016-10-10,40.0
2016-10-11,40.0
2016-10-12,40.0
2016-10-13,40.0
2016-10-14,40.0
2016-10-17,40.0
2016-10-18,40.0
2016-10-19,40.0
2016-10-20,40.0
2016-10-21,40.0
2016-10-24,40.0
2016-10-25,40.0
2016-10-26,40.0
2016-10-27,40.0
2016-10-28,40.0
2016-10-31,40.0
2016-11-01,40.0
2016-11-02,40.0
2016-11-03,40.0
2016-11-04,40.0
2016-11-07,40.0
2016-11-08,40.0
2016-11-09,40.0
2016-11-10,40.0
2016-11-11,40.0
2016-11-14,40.0
2016-11-15,40.0
2016-11-16,40.0
2016-11-17,40.0
2016-11-18,40.0
2016-11-21,40.0
2016-11-22,40.0
2016-11-23,40.0
2016-11-24,86.65
2016-11-25,82.4
2016-11-28,84.35
2016-11-29,84.75
2016-11-30,85.6
2016-12-01,85.15
2016-12-02,84.1
2016-12-05,83.1
2016-12-06,79.25
2016-12-07,80.65
2016-12-08,82.6
2016-12-09,83.95
2016-12-12,86.5
2016-12-13,87.55
2016-12-14,88.9
2016-12-15,90.1
2016-12-16,89.4
2016-12-19,89.05
2016-12-20,90.0
2016-12-21,90.25
2016-12-22,90.0
2016-12-23,90.05
2016-12-27,90.05
2016-12-28,90.6
2016-12-29,90.6
2016-12-30,90.2
2017-01-03,82.5
2017-01-04,84.2
2017-01-05,85.75
2017-01-06,84.75
2017-01-09,55.05
2017-01-10,54.6
2017-01-11,54.65
2017-01-12,55.35
2017-01-13,56.95
2017-01-16,56.95
2017-01-17,59.65
2017-01-18,64.5
2017-01-19,61.8
2017-01-20,62.55
2017-01-23,60.1
2017-01-24,60.1
2017-01-25,58.05
2017-01-26,58.05
2017-01-27,57.05
2017-01-30,55.55
2017-01-31,56.4
2017-02-01,56.4
2017-02-02,59.05
2017-02-03,59.05
2017-02-06,58.05
2017-02-07,59.3
2017-02-08,59.65
2017-02-09,60.15
2017-02-10,60.15
2017-02-13,57.45
2017-02-14,57.45
2017-02-15,57.3
2017-02-16,57.25
2017-02-17,57.05
2017-02-20,57.05
2017-02-21,57.05
2017-02-22,54.55
2017-02-23,53.55
2017-02-24,53.55
2017-02-27,53.2
2017-02-28,52.95
2017-03-01,53.3
2017-03-02,53.3
2017-03-03,53.3
