Date,Natural Gas
2015-01-02,3.0030
2015-01-05,2.8820
2015-01-06,2.9380
2015-01-07,2.8710
2015-01-08,2.9270
2015-01-09,2.9460
2015-01-12,2.7950
2015-01-13,2.9430
2015-01-14,3.2330
2015-01-15,3.1580
2015-01-16,3.1270
2015-01-20,2.8310
2015-01-21,2.9740
2015-01-22,2.8350
2015-01-23,2.9860
2015-01-26,2.8810
2015-01-27,2.9810
2015-01-28,2.8660
2015-01-29,2.7190
2015-01-30,2.6910
2015-02-02,2.6800
2015-02-03,2.7540
2015-02-04,2.6620
2015-02-05,2.6000
2015-02-06,2.5790
2015-02-09,2.5970
2015-02-10,2.6770
2015-02-11,2.7970
2015-02-12,2.7130
2015-02-13,2.8040
2015-02-17,2.7590
2015-02-18,2.8310
2015-02-19,2.8340
2015-02-20,2.9510
2015-02-23,2.8790
2015-02-24,2.9020
2015-02-25,2.8940
2015-02-26,2.6970
2015-02-27,2.7340
2015-03-02,2.6980
2015-03-03,2.7120
2015-03-04,2.7690
2015-03-05,2.8410
2015-03-06,2.8390
2015-03-09,2.6780
2015-03-10,2.7320
2015-03-11,2.8240
2015-03-12,2.7340
2015-03-13,2.7270
2015-03-16,2.7160
2015-03-17,2.8550
2015-03-18,2.9200
2015-03-19,2.8130
2015-03-20,2.7860
2015-03-23,2.7330
2015-03-24,2.7860
2015-03-25,2.7230
2015-03-26,2.6720
2015-03-27,2.5900
2015-03-30,2.6440
2015-03-31,2.6400
2015-04-01,2.6050
2015-04-02,2.7130
2015-04-06,2.6500
2015-04-07,2.6800
2015-04-08,2.6190
2015-04-09,2.5280
2015-04-10,2.5110
2015-04-13,2.5110
2015-04-14,2.5300
2015-04-15,2.6100
2015-04-16,2.6840
2015-04-17,2.6340
2015-04-20,2.5360
2015-04-21,2.5750
2015-04-22,2.6060
2015-04-23,2.5310
2015-04-24,2.5310
2015-04-27,2.4900
2015-04-28,2.5170
2015-04-29,2.6060
2015-04-30,2.7510
2015-05-01,2.7760
2015-05-04,2.8210
2015-05-05,2.7800
2015-05-06,2.7760
2015-05-07,2.7340
2015-05-08,2.8800
2015-05-11,2.8020
2015-05-12,2.8970
2015-05-13,2.9350
2015-05-14,3.0080
2015-05-15,3.0160
2015-05-18,3.0100
2015-05-19,2.9480
2015-05-20,2.9150
2015-05-21,2.9490
2015-05-22,2.8870
2015-05-26,2.8220
2015-05-27,2.8150
2015-05-28,2.7060
2015-05-29,2.6420
2015-06-01,2.6490
2015-06-02,2.6980
2015-06-03,2.6340
2015-06-04,2.6260
2015-06-05,2.5900
2015-06-08,2.7050
2015-06-09,2.8460
2015-06-10,2.8910
2015-06-11,2.8250
2015-06-12,2.7500
2015-06-15,2.8890
2015-06-16,2.8940
2015-06-17,2.8550
2015-06-18,2.7770
2015-06-19,2.8160
2015-06-22,2.7330
2015-06-23,2.7260
2015-06-24,2.7590
2015-06-25,2.8500
2015-06-26,2.7730
2015-06-29,2.8050
2015-06-30,2.8320
2015-07-01,2.7830
2015-07-02,2.8220
2015-07-06,2.7560
2015-07-07,2.7160
2015-07-08,2.6850
2015-07-09,2.7260
2015-07-10,2.7700
2015-07-13,2.8640
2015-07-14,2.8400
2015-07-15,2.9180
2015-07-16,2.8540
2015-07-17,2.8700
2015-07-20,2.8230
2015-07-21,2.8820
2015-07-22,2.8970
2015-07-23,2.8160
2015-07-24,2.7760
2015-07-27,2.7890
2015-07-28,2.8210
2015-07-29,2.8860
2015-07-30,2.7680
2015-07-31,2.7160
2015-08-03,2.7480
2015-08-04,2.8120
2015-08-05,2.7980
2015-08-06,2.8130
2015-08-07,2.7980
2015-08-10,2.8420
2015-08-11,2.8440
2015-08-12,2.9310
2015-08-13,2.7870
2015-08-14,2.8010
2015-08-17,2.7280
2015-08-18,2.7040
2015-08-19,2.7160
2015-08-20,2.7550
2015-08-21,2.6760
2015-08-24,2.6500
2015-08-25,2.6850
2015-08-26,2.6930
2015-08-27,2.6380
2015-08-28,2.7150
2015-08-31,2.6890
2015-09-01,2.7020
2015-09-02,2.6480
2015-09-03,2.7250
2015-09-04,2.6550
2015-09-08,2.7100
2015-09-09,2.6510
2015-09-10,2.6830
2015-09-11,2.6930
2015-09-14,2.7580
2015-09-15,2.7280
2015-09-16,2.6600
2015-09-17,2.6520
2015-09-18,2.6050
2015-09-21,2.5730
2015-09-22,2.5770
2015-09-23,2.5690
2015-09-24,2.5910
2015-09-25,2.5640
2015-09-28,2.5630
2015-09-29,2.5860
2015-09-30,2.5240
2015-10-01,2.4330
2015-10-02,2.4510
2015-10-05,2.4500
2015-10-06,2.4700
2015-10-07,2.4740
2015-10-08,2.4980
2015-10-09,2.5020
2015-10-12,2.5350
2015-10-13,2.4980
2015-10-14,2.5180
2015-10-15,2.4530
2015-10-16,2.4300
2015-10-19,2.4420
2015-10-20,2.4760
2015-10-21,2.4040
2015-10-22,2.3860
2015-10-23,2.2860
2015-10-26,2.0620
2015-10-27,2.0920
2015-10-28,2.0330
2015-10-29,2.2570
2015-10-30,2.3210
2015-11-02,2.2560
2015-11-03,2.2530
2015-11-04,2.2620
2015-11-05,2.3640
2015-11-06,2.3710
2015-11-09,2.3000
2015-11-10,2.3200
2015-11-11,2.2630
2015-11-12,2.2600
2015-11-13,2.3610
