Date,Uran
2015-01-02,35.25
2015-01-05,35.25
2015-01-06,35.25
2015-01-07,35.25
2015-01-08,35.25
2015-01-09,35.4
2015-01-12,35.45
2015-01-13,35.65
2015-01-14,35.75
2015-01-15,36.5
2015-01-16,36.5
2015-01-20,36.7
2015-01-21,36.65
2015-01-22,36.75
2015-01-23,37.0
2015-01-26,37.15
2015-01-27,37.15
2015-01-28,37.3
2015-01-29,37.45
2015-01-30,37.25
2015-02-02,37.45
2015-02-03,37.55
2015-02-04,38.0
2015-02-05,38.2
2015-02-06,38.2
2015-02-09,38.2
2015-02-10,38.2
2015-02-11,38.0
2015-02-12,37.75
2015-02-13,38.0
2015-02-17,38.4
2015-02-18,38.4
2015-02-19,38.4
2015-02-20,38.4
2015-02-23,38.5
2015-02-24,38.75
2015-02-25,38.75
2015-02-26,38.75
2015-02-27,38.75
2015-03-02,38.75
2015-03-03,38.75
2015-03-04,38.75
2015-03-05,38.75
2015-03-06,38.75
2015-03-09,39.5
2015-03-10,39.5
2015-03-11,39.4
2015-03-12,39.4
2015-03-13,39.25
2015-03-16,28.0
2015-03-17,39.45
2015-03-18,28.0
2015-03-19,40.15
2015-03-20,39.25
2015-03-23,39.5
2015-03-24,39.5
2015-03-25,28.0
2015-03-26,28.0
2015-03-27,39.4
2015-03-31,38.75
2015-04-01,39.0
2015-04-02,39.0
2015-04-03,39.45
2015-04-06,38.75
2015-04-07,38.75
2015-04-08,38.75
2015-04-09,39.0
2015-04-10,38.75
2015-04-13,38.25
2015-04-14,38.5
2015-04-15,39.0
2015-04-16,39.0
2015-04-17,38.25
2015-04-20,38.25
2015-04-21,38.25
2015-04-22,38.25
2015-04-23,38.0
2015-04-24,38.0
2015-04-27,37.25
2015-04-28,38.0
2015-04-29,37.9
2015-04-30,37.0
2015-05-01,35.65
2015-05-04,35.7
2015-05-05,35.75
2015-05-06,36.45
2015-05-07,36.75
2015-05-08,36.45
2015-05-11,36.0
2015-05-12,36.0
2015-05-13,36.0
2015-05-14,35.75
2015-05-15,35.75
2015-05-18,35.75
2015-05-19,35.25
2015-05-20,35.25
2015-05-21,35.25
2015-05-22,35.25
2015-05-26,35.15
2015-05-27,35.0
2015-05-28,35.0
2015-05-29,35.1
2015-06-01,35.4
2015-06-02,35.55
2015-06-03,35.65
2015-06-04,35.9
2015-06-05,35.9
2015-06-08,35.9
2015-06-09,36.0
2015-06-10,36.0
2015-06-11,36.25
2015-06-12,36.25
2015-06-15,36.5
2015-06-16,36.5
2015-06-17,36.75
2015-06-18,36.75
