MESS_DATUM;V_N
2023072000;7
2023072001;8
2023072002;8
2023072003;8
2023072004;8
2023072005;8
2023072006;8
2023072007;8
2023072008;8
2023072009;7
2023072010;7
2023072011;6
2023072012;7
2023072013;7
2023072014;8
2023072015;7
2023072016;7
2023072017;2
2023072018;6
2023072019;1
2023072020;7
2023072021;7
2023072022;8
2023072023;8
2023072100;8
2023072101;8
2023072102;8
2023072103;8
2023072104;8
2023072105;8
2023072106;8
2023072107;8
2023072108;8
2023072109;8
2023072110;8
2023072111;8
2023072112;8
2023072113;7
2023072114;7
2023072115;8
2023072116;8
2023072117;7
2023072118;8
2023072119;8
2023072120;7
2023072121;8
2023072122;8
2023072123;4
2023072200;0
2023072201;0
2023072202;0
2023072203;0
2023072204;0
2023072205;6
2023072206;7
2023072207;7
2023072208;3
2023072209;2
2023072210;3
2023072211;1
2023072212;3
2023072213;3
2023072214;5
2023072215;0
2023072216;0
2023072217;2
2023072218;3
2023072219;7
2023072220;2
2023072221;0
2023072222;0
2023072223;0
2023072300;0
2023072301;0
2023072302;0
2023072303;0
2023072304;2
2023072305;0
2023072306;0
2023072307;0
2023072308;1
2023072309;0
2023072310;2
2023072311;6
2023072312;7
2023072313;8
2023072314;8
2023072315;8
2023072316;8
2023072317;8
2023072318;7
2023072319;8
2023072320;7
2023072321;8
2023072322;8
2023072323;8
2023072400;8
2023072401;8
2023072402;8
2023072403;8
2023072404;7
2023072405;8
2023072406;8
2023072407;7
2023072408;8
2023072409;7
2023072410;8
2023072411;8
2023072412;7
2023072413;8
2023072414;8
2023072415;7
2023072416;6
2023072417;8
2023072418;8
2023072419;8
2023072420;8
2023072421;8
2023072422;8
2023072423;8
2023072500;8
2023072501;8
2023072502;8
2023072503;8
2023072504;8
2023072505;8
2023072506;8
2023072507;8
2023072508;8
2023072509;8
2023072510;8
2023072511;8
2023072512;8
2023072513;8
2023072514;2
2023072515;8
2023072516;7
2023072517;8
2023072518;8
2023072519;8
2023072520;8
2023072521;8
2023072522;7
2023072523;8
2023072600;8
2023072601;8
2023072602;8
2023072603;7
2023072604;8
2023072605;7
2023072606;8
2023072607;8
2023072608;8
2023072609;8
2023072610;7
2023072611;6
2023072612;7
2023072613;7
2023072614;8
2023072615;7
2023072616;8
2023072617;2
2023072618;7
2023072619;8
2023072620;6
2023072621;8
2023072622;2
2023072623;0
2023072700;5
2023072701;1
2023072702;8
2023072703;8
2023072704;5
2023072705;2
2023072706;7
2023072707;8
2023072708;8
2023072709;8
2023072710;8
2023072711;8
2023072712;8
2023072713;8
2023072714;8
2023072715;8
2023072716;8
2023072717;7
2023072718;8
2023072719;8
2023072720;8
2023072721;8
2023072722;7
2023072723;8
2023072800;8
2023072801;7
2023072802;6
2023072803;5
2023072804;0
2023072805;2
2023072806;7
2023072807;5
2023072808;7
2023072809;8
2023072810;8
2023072811;8
2023072812;7
2023072813;8
2023072814;8
2023072815;8
2023072816;8
2023072817;8
2023072818;8
2023072819;8
2023072820;8
2023072821;8
2023072822;8
2023072823;5
2023072900;8
2023072901;8
2023072902;0
2023072903;1
2023072904;5
2023072905;6
2023072906;8
2023072907;8
2023072908;8
2023072909;8
2023072910;8
2023072911;8
2023072912;8
2023072913;8
2023072914;8
2023072915;7
2023072916;7
2023072917;8
2023072918;8
2023072919;8
2023072920;8
