MESS_DATUM;SD_SO
2023062203;0.0
2023062204;0.0
2023062205;42.0
2023062206;60.0
2023062207;60.0
2023062208;60.0
2023062209;60.0
2023062210;60.0
2023062211;60.0
2023062212;57.0
2023062213;59.0
2023062214;43.0
2023062215;56.0
2023062216;60.0
2023062217;60.0
2023062218;5.0
2023062219;0.0
2023062220;0.0
2023062303;0.0
2023062304;0.0
2023062305;0.0
2023062306;0.0
2023062307;0.0
2023062308;0.0
2023062309;3.0
2023062310;7.0
2023062311;28.0
2023062312;34.0
2023062313;17.0
2023062314;19.0
2023062315;8.0
2023062316;3.0
2023062317;0.0
2023062318;0.0
2023062319;0.0
2023062320;0.0
2023062403;0.0
2023062404;0.0
2023062405;0.0
2023062406;0.0
2023062407;0.0
2023062408;9.0
2023062409;43.0
2023062410;51.0
2023062411;41.0
2023062412;53.0
2023062413;42.0
2023062414;38.0
2023062415;43.0
2023062416;52.0
2023062417;48.0
2023062418;59.0
2023062419;55.0
2023062420;3.0
2023062503;0.0
2023062504;16.0
2023062505;60.0
2023062506;60.0
2023062507;60.0
2023062508;60.0
2023062509;60.0
2023062510;60.0
2023062511;60.0
2023062512;60.0
2023062513;60.0
2023062514;60.0
2023062515;60.0
2023062516;60.0
2023062517;60.0
2023062518;60.0
2023062519;60.0
2023062520;9.0
2023062603;0.0
2023062604;17.0
2023062605;60.0
2023062606;60.0
2023062607;60.0
2023062608;60.0
2023062609;60.0
2023062610;60.0
2023062611;60.0
2023062612;54.0
2023062613;46.0
2023062614;58.0
2023062615;58.0
2023062616;59.0
2023062617;19.0
2023062618;0.0
2023062619;0.0
2023062620;0.0
2023062703;0.0
2023062704;0.0
2023062705;0.0
2023062706;0.0
2023062707;0.0
2023062708;7.0
2023062709;45.0
2023062710;44.0
2023062711;10.0
2023062712;30.0
2023062713;49.0
2023062714;60.0
2023062715;20.0
2023062716;10.0
2023062717;12.0
2023062718;5.0
2023062719;0.0
2023062720;0.0
2023062803;0.0
2023062804;0.0
2023062805;0.0
2023062806;0.0
2023062807;0.0
2023062808;3.0
2023062809;45.0
2023062810;26.0
2023062811;16.0
2023062812;28.0
2023062813;16.0
2023062814;17.0
2023062815;48.0
2023062816;59.0
2023062817;60.0
2023062818;60.0
2023062819;60.0
2023062820;8.0
2023062903;0.0
2023062904;15.0
2023062905;60.0
2023062906;60.0
2023062907;60.0
2023062908;60.0
2023062909;60.0
2023062910;60.0
2023062911;60.0
2023062912;60.0
2023062913;60.0
2023062914;60.0
2023062915;36.0
2023062916;58.0
2023062917;58.0
2023062918;56.0
2023062919;15.0
2023062920;0.0
2023063003;0.0
2023063004;0.0
2023063005;0.0
2023063006;0.0
2023063007;0.0
2023063008;0.0
2023063009;0.0
2023063010;0.0
2023063011;0.0
2023063012;3.0
2023063013;16.0
2023063014;34.0
2023063015;24.0
2023063016;4.0
2023063017;7.0
2023063018;0.0
2023063019;0.0
2023063020;0.0
2023070103;0.0
2023070104;0.0
2023070105;0.0
2023070106;0.0
2023070107;0.0
2023070108;1.0
2023070109;0.0
2023070110;29.0
2023070111;41.0
2023070112;31.0
2023070113;36.0
2023070114;52.0
2023070115;39.0
2023070116;55.0
2023070117;59.0
2023070118;27.0
2023070119;0.0
2023070120;0.0
2023070203;0.0
2023070204;0.0
2023070205;0.0
2023070206;4.0
2023070207;2.0
2023070208;0.0
2023070209;0.0
2023070210;2.0
2023070211;2.0
2023070212;36.0
2023070213;34.0
2023070214;42.0
2023070215;36.0
2023070216;32.0
2023070217;30.0
2023070218;37.0
2023070219;0.0
2023070220;0.0
2023070303;0.0
2023070304;0.0
2023070305;0.0
2023070306;1.0
2023070307;48.0
2023070308;31.0
2023070309;3.0
2023070310;2.0
2023070311;29.0
2023070312;25.0
2023070313;31.0
2023070314;23.0
2023070315;37.0
2023070316;46.0
2023070317;39.0
2023070318;3.0
2023070319;26.0
2023070320;2.0
2023070403;0.0
2023070404;0.0
2023070405;9.0
2023070406;18.0
2023070407;32.0
2023070408;60.0
2023070409;34.0
2023070410;11.0
2023070411;38.0
2023070412;36.0
2023070413;51.0
2023070414;48.0
2023070415;45.0
2023070416;59.0
2023070417;26.0
2023070418;33.0
2023070419;1.0
2023070420;0.0
2023070503;0.0
2023070504;0.0
2023070505;44.0
2023070506;35.0
2023070507;4.0
2023070508;0.0
2023070509;34.0
2023070510;30.0
2023070511;46.0
2023070512;2.0
2023070513;8.0
2023070514;1.0
2023070515;19.0
2023070516;25.0
2023070517;9.0
2023070518;3.0
2023070519;2.0
2023070520;9.0
2023070603;0.0
2023070604;0.0
2023070605;54.0
2023070606;60.0
2023070607;60.0
2023070608;57.0
2023070609;60.0
2023070610;60.0
2023070611;59.0
2023070612;52.0
2023070613;30.0
2023070614;42.0
2023070615;22.0
2023070616;55.0
2023070617;43.0
2023070618;60.0
2023070619;60.0
2023070620;4.0
2023070703;0.0
2023070704;9.0
2023070705;60.0
2023070706;60.0
2023070707;60.0
2023070708;60.0
2023070709;60.0
2023070710;60.0
2023070711;60.0
2023070712;60.0
2023070713;60.0
2023070714;60.0
2023070715;60.0
2023070716;60.0
2023070717;60.0
2023070718;60.0
2023070719;60.0
2023070720;4.0
2023070803;0.0
2023070804;6.0
2023070805;22.0
2023070806;0.0
2023070807;48.0
2023070808;49.0
2023070809;27.0
2023070810;9.0
2023070811;29.0
2023070812;51.0
2023070813;60.0
2023070814;60.0
2023070815;59.0
2023070816;58.0
2023070817;60.0
2023070818;59.0
2023070819;58.0
2023070820;0.0
2023070903;0.0
2023070904;0.0
2023070905;58.0
2023070906;60.0
2023070907;60.0
2023070908;60.0
2023070909;60.0
2023070910;60.0
2023070911;60.0
2023070912;60.0
2023070913;60.0
2023070914;60.0
2023070915;60.0
2023070916;60.0
2023070917;60.0
2023070918;49.0
2023070919;12.0
2023070920;2.0
2023071003;0.0
2023071004;0.0
2023071005;53.0
2023071006;15.0
2023071007;43.0
2023071008;12.0
