MESS_DATUM;F;D
2015010100;2.1;230
2015010101;2.2;200
2015010102;1.1;240
2015010103;1.9;200
2015010104;1.7;210
2015010105;1.1;180
2015010106;1.6;200
2015010107;1.7;200
2015010108;2.3;240
2015010109;1.1;220
2015010110;1.5;200
2015010111;0.7;330
2015010112;1.5;300
2015010113;2.0;180
2015010114;2.1;190
2015010115;1.4;260
2015010116;1.3;300
2015010117;1.0;120
2015010118;1.3;290
2015010119;1.2;240
2015010120;1.1;260
2015010121;1.9;210
2015010122;2.5;240
2015010123;2.8;210
2015010200;2.3;210
2015010201;0.6;200
2015010202;1.0;160
2015010203;1.2;190
2015010204;1.8;190
2015010205;1.2;280
2015010206;0.8;270
2015010207;2.3;180
2015010208;2.0;250
2015010209;1.3;170
2015010210;1.1;140
2015010211;1.1;200
2015010212;1.6;240
2015010213;5.4;270
2015010214;8.8;260
2015010215;9.7;260
2015010216;9.6;260
2015010217;9.5;260
2015010218;8.3;260
2015010219;7.2;260
2015010220;6.5;260
2015010221;4.9;260
2015010222;5.1;260
2015010223;4.7;260
2015010300;4.1;270
2015010301;3.8;280
2015010302;3.9;270
2015010303;4.1;260
2015010304;3.7;260
2015010305;4.0;250
2015010306;3.3;240
2015010307;3.7;220
2015010308;3.5;240
2015010309;3.4;220
2015010310;3.5;210
2015010311;3.8;200
2015010312;2.9;220
2015010313;1.5;270
2015010314;1.6;280
2015010315;2.5;240
2015010316;1.2;80
2015010317;1.1;160
2015010318;1.2;130
2015010319;1.8;100
2015010320;2.8;90
2015010321;2.3;80
2015010322;3.3;360
2015010323;5.8;320
2015010400;6.9;310
2015010401;5.8;290
2015010402;5.0;270
2015010403;4.7;270
2015010404;5.2;280
2015010405;5.8;280
2015010406;5.0;270
2015010407;5.4;270
2015010408;4.9;270
2015010409;5.3;270
2015010410;7.0;260
2015010411;7.3;260
2015010412;7.3;260
2015010413;7.6;260
2015010414;7.1;260
2015010415;7.0;270
2015010416;6.8;260
2015010417;6.6;260
2015010418;6.0;270
2015010419;6.8;270
2015010420;6.5;270
2015010421;6.0;270
2015010422;5.5;270
2015010423;6.3;260
2015010500;5.7;270
2015010501;4.2;270
2015010502;5.0;260
2015010503;5.5;270
2015010504;4.4;270
2015010505;5.1;260
2015010506;4.8;270
2015010507;4.5;270
2015010508;4.5;270
2015010509;4.6;260
2015010510;4.7;240
2015010511;4.5;250
2015010512;5.8;250
2015010513;6.0;260
2015010514;5.6;260
2015010515;4.3;260
2015010516;2.8;270
2015010517;3.2;250
2015010518;1.9;240
2015010519;2.5;240
2015010520;3.6;250
2015010521;1.5;270
2015010522;2.0;240
2015010523;2.4;250
2015010600;0.9;270
2015010601;1.5;140
2015010602;2.0;230
2015010603;1.1;280
2015010604;1.2;100
2015010605;0.9;80
2015010606;1.4;70
2015010607;0.9;90
2015010608;0.9;80
2015010609;1.5;70
2015010610;1.7;60
2015010611;1.9;60
2015010612;2.3;80
2015010613;2.2;80
2015010614;2.2;70
2015010615;1.9;60
2015010616;1.8;70
2015010617;2.1;70
2015010618;1.6;60
2015010619;2.1;60
2015010620;1.3;60
2015010621;0.8;10
2015010622;1.2;80
2015010623;1.2;100
2015010700;0.6;340
2015010701;1.2;200
2015010702;0.9;200
2015010703;0.9;210
2015010704;0.8;240
2015010705;0.8;220
2015010706;1.8;230
2015010707;2.2;260
2015010708;2.1;210
2015010709;1.9;250
2015010710;3.1;270
2015010711;3.2;270
2015010712;3.2;260
2015010713;3.5;260
2015010714;2.9;270
2015010715;1.7;280
2015010716;1.2;310
2015010717;2.1;250
2015010718;1.7;210
2015010719;1.9;190
2015010720;1.7;200
2015010721;0.8;220
2015010722;0.7;120
2015010723;0.3;30
2015010800;1.1;100
2015010801;0.9;200
2015010802;1.4;230
2015010803;1.5;240
2015010804;2.6;220
2015010805;2.3;200
2015010806;2.3;200
2015010807;3.1;220
2015010808;3.5;210
2015010809;3.1;220
2015010810;3.5;230
2015010811;3.8;220
2015010812;3.5;230
2015010813;6.2;250
2015010814;6.3;250
2015010815;5.9;250
2015010816;6.8;240
2015010817;8.7;240
2015010818;10.5;250
2015010819;9.9;240
2015010820;12.6;250
2015010821;14.7;240
2015010822;16.2;250
2015010823;13.8;250
2015010900;9.4;260
2015010901;8.0;260
2015010902;6.6;260
2015010903;5.8;260
2015010904;5.4;250
2015010905;5.6;240
2015010906;6.7;240
2015010907;9.1;250
2015010908;8.9;250
2015010909;8.5;250
2015010910;10.1;250
2015010911;7.6;250
2015010912;11.7;250
2015010913;14.2;250
2015010914;14.7;250
2015010915;14.4;250
2015010916;15.1;250
2015010917;15.6;260
2015010918;13.8;260
2015010919;13.4;260
2015010920;12.6;260
2015010921;13.4;250
2015010922;13.6;250
2015010923;12.6;260
2015011000;14.9;260
2015011001;16.6;260
2015011002;16.5;260
2015011003;16.2;250
2015011004;15.9;250
2015011005;15.6;260
2015011006;16.1;250
2015011007;15.6;250
2015011008;14.7;250
2015011009;14.7;250
2015011010;12.9;260
2015011011;13.7;250
2015011012;13.5;250
2015011013;14.3;250
2015011014;16.1;250
2015011015;14.8;260
2015011016;15.9;250
2015011017;13.4;250
2015011018;13.8;260
2015011019;15.9;250
2015011020;14.7;250
2015011021;14.4;250
2015011022;14.4;260
2015011023;13.5;260
2015011100;13.3;260
2015011101;10.0;270
2015011102;6.4;310
2015011103;4.5;300
2015011104;3.6;290
2015011105;3.3;330
2015011106;5.0;320
2015011107;3.3;270
2015011108;2.9;280
2015011109;5.5;230
2015011110;7.4;260
2015011111;9.0;270
2015011112;9.2;270
2015011113;7.5;270
2015011114;11.0;260
2015011115;8.6;270
2015011116;8.7;260
2015011117;9.3;270
2015011118;9.7;270
2015011119;8.6;270
2015011120;10.0;260
2015011121;10.0;260
2015011122;10.2;260
