MESS_DATUM;V_N
2015010100;8
2015010101;8
2015010102;8
2015010103;7
2015010104;7
2015010105;8
2015010106;7
2015010107;7
2015010108;6
2015010109;7
2015010110;8
2015010111;7
2015010112;7
2015010113;7
2015010114;7
2015010115;7
2015010116;7
2015010117;7
2015010118;7
2015010119;7
2015010120;7
2015010121;7
2015010122;7
2015010123;7
2015010200;8
2015010201;8
2015010202;8
2015010203;8
2015010204;8
2015010205;8
2015010206;8
2015010207;8
2015010208;8
2015010209;8
2015010210;6
2015010211;7
2015010212;6
2015010213;5
2015010214;6
2015010215;5
2015010216;7
2015010217;6
2015010218;5
2015010219;7
2015010220;5
2015010221;3
2015010222;5
2015010223;3
2015010300;2
2015010301;4
2015010302;4
2015010303;4
2015010304;4
2015010305;2
2015010306;3
2015010307;2
2015010308;7
2015010309;7
2015010310;7
2015010311;8
2015010312;8
2015010313;8
2015010314;8
2015010315;8
2015010316;8
2015010317;8
2015010318;8
2015010319;5
2015010320;4
2015010321;6
2015010322;3
2015010323;3
2015010400;4
2015010401;3
2015010402;5
2015010403;6
2015010404;6
2015010405;0
2015010406;0
2015010407;2
2015010408;3
2015010409;2
2015010410;2
2015010411;1
2015010412;2
2015010413;3
2015010414;3
2015010415;1
2015010416;1
2015010417;1
2015010418;4
2015010419;4
2015010420;7
2015010421;5
2015010422;2
2015010423;6
2015010500;7
2015010501;7
2015010502;7
2015010503;8
2015010504;8
2015010505;8
2015010506;7
2015010507;8
2015010508;8
2015010509;8
2015010510;8
2015010511;8
2015010512;8
2015010513;8
2015010514;8
2015010515;8
2015010516;8
2015010517;8
2015010518;8
2015010519;8
2015010520;8
2015010521;8
2015010522;8
2015010523;8
2015010600;8
2015010601;8
2015010602;8
2015010603;8
2015010604;8
2015010605;8
2015010606;8
2015010607;8
2015010608;7
2015010609;8
2015010610;8
2015010611;7
2015010612;7
2015010613;8
2015010614;7
2015010615;8
2015010616;8
2015010617;8
2015010618;7
2015010619;7
2015010620;7
2015010621;8
2015010622;6
2015010623;7
2015010700;8
2015010701;8
2015010702;8
2015010703;8
2015010704;8
2015010705;8
2015010706;7
2015010707;7
2015010708;6
2015010709;2
2015010710;6
2015010711;2
2015010712;4
2015010713;6
2015010714;6
2015010715;6
2015010716;7
2015010717;7
2015010718;8
2015010719;8
2015010720;5
2015010721;7
2015010722;7
2015010723;7
2015010800;7
2015010801;7
2015010802;7
2015010803;8
