MESS_DATUM;P;P0
2023071700;1014.5;1012.7
2023071701;1014.3;1012.5
2023071702;1014.0;1012.2
2023071703;1014.3;1012.5
2023071704;1014.4;1012.6
2023071705;1014.9;1013.1
2023071706;1014.9;1013.1
2023071707;1015.0;1013.2
2023071708;1015.2;1013.4
2023071709;1015.4;1013.6
2023071710;1015.6;1013.8
2023071711;1015.8;1014.0
2023071712;1016.6;1014.8
2023071713;1017.0;1015.2
2023071714;1016.9;1015.1
2023071715;1016.5;1014.7
2023071716;1017.3;1015.5
2023071717;1018.1;1016.3
2023071718;1018.4;1016.6
2023071719;1018.2;1016.4
2023071720;1018.8;1017.0
2023071721;1019.1;1017.3
2023071722;1019.3;1017.5
2023071723;1019.6;1017.8
2023071800;1019.7;1017.9
2023071801;1019.6;1017.8
2023071802;1019.5;1017.7
2023071803;1019.5;1017.7
2023071804;1019.6;1017.8
2023071805;1019.5;1017.7
2023071806;1019.6;1017.8
2023071807;1019.9;1018.1
2023071808;1019.9;1018.1
2023071809;1019.6;1017.8
2023071810;1019.3;1017.5
2023071811;1018.9;1017.1
2023071812;1018.2;1016.4
2023071813;1018.1;1016.3
2023071814;1017.5;1015.7
2023071815;1017.1;1015.3
2023071816;1017.3;1015.5
2023071817;1016.7;1014.9
2023071818;1016.2;1014.4
2023071819;1015.7;1013.9
2023071820;1015.6;1013.8
2023071821;1015.4;1013.6
2023071822;1015.3;1013.5
2023071823;1015.1;1013.3
2023071900;1014.5;1012.7
2023071901;1014.1;1012.3
2023071902;1014.1;1012.3
2023071903;1013.6;1011.8
2023071904;1013.6;1011.8
2023071905;1013.4;1011.6
2023071906;1013.3;1011.5
2023071907;1013.0;1011.2
2023071908;1013.0;1011.2
2023071909;1012.8;1011.0
2023071910;1012.5;1010.7
2023071911;1012.1;1010.3
2023071912;1011.9;1010.1
2023071913;1011.7;1009.9
2023071914;1011.5;1009.7
2023071915;1011.2;1009.4
2023071916;1010.9;1009.1
2023071917;1010.9;1009.1
2023071918;1011.0;1009.2
2023071919;1011.7;1009.9
2023071920;1012.0;1010.2
2023071921;1012.0;1010.2
2023071922;1012.0;1010.2
2023071923;1012.0;1010.2
2023072000;1012.3;1010.5
2023072001;1012.2;1010.4
2023072002;1012.0;1010.2
2023072003;1012.2;1010.4
2023072004;1012.3;1010.5
2023072005;1012.5;1010.7
2023072006;1012.5;1010.7
2023072007;1012.7;1010.9
2023072008;1012.8;1011.0
2023072009;1012.9;1011.1
2023072010;1013.2;1011.4
2023072011;1013.0;1011.2
2023072012;1013.2;1011.4
2023072013;1013.4;1011.6
2023072014;1013.4;1011.6
2023072015;1013.4;1011.6
2023072016;1013.3;1011.5
2023072017;1013.2;1011.4
2023072018;1013.0;1011.2
2023072019;1013.1;1011.3
2023072020;1013.4;1011.6
2023072021;1013.4;1011.6
2023072022;1013.3;1011.5
2023072023;1013.1;1011.3
2023072100;1012.7;1010.9
2023072101;1012.5;1010.7
2023072102;1012.1;1010.3
2023072103;1011.7;1009.9
2023072104;1011.4;1009.6
2023072105;1011.3;1009.5
2023072106;1011.2;1009.4
2023072107;1011.1;1009.3
2023072108;1010.9;1009.1
2023072109;1010.6;1008.8
2023072110;1010.2;1008.4
2023072111;1009.9;1008.1
2023072112;1009.8;1008.0
2023072113;1009.7;1007.9
2023072114;1009.3;1007.5
2023072115;1009.0;1007.2
2023072116;1009.1;1007.3
2023072117;1008.9;1007.1
2023072118;1009.8;1008.0
2023072119;1009.9;1008.1
2023072120;1010.0;1008.2
2023072121;1010.6;1008.8
2023072122;1010.8;1009.0
2023072123;1010.9;1009.1
2023072200;1010.8;1009.0
2023072201;1010.9;1009.1
2023072202;1010.7;1008.9
2023072203;1010.9;1009.1
2023072204;1011.0;1009.2
2023072205;1011.5;1009.7
2023072206;1011.9;1010.1
2023072207;1012.2;1010.4
2023072208;1012.4;1010.6
2023072209;1012.7;1010.9
2023072210;1012.7;1010.9
2023072211;1012.4;1010.6
2023072212;1012.2;1010.4
2023072213;1012.4;1010.6
2023072214;1012.6;1010.8
2023072215;1012.2;1010.4
2023072216;1012.0;1010.2
2023072217;1011.9;1010.1
2023072218;1011.5;1009.7
2023072219;1011.2;1009.4
2023072220;1011.3;1009.5
2023072221;1011.3;1009.5
2023072222;1011.0;1009.2
2023072223;1011.1;1009.3
2023072300;1010.7;1008.9
2023072301;1009.9;1008.1
2023072302;1009.2;1007.4
2023072303;1008.6;1006.8
2023072304;1008.1;1006.3
2023072305;1007.6;1005.8
2023072306;1007.3;1005.5
2023072307;1007.1;1005.3
2023072308;1006.6;1004.8
2023072309;1006.2;1004.4
2023072310;1006.0;1004.2
2023072311;1005.8;1004.0
2023072312;1005.7;1003.9
2023072313;1005.8;1004.0
2023072314;1005.7;1003.9
2023072315;1005.5;1003.7
2023072316;1005.4;1003.6
2023072317;1005.0;1003.2
2023072318;1004.9;1003.1
2023072319;1004.5;1002.7
2023072320;1004.3;1002.5
2023072321;1004.3;1002.5
2023072322;1003.8;1002.0
2023072323;1003.6;1001.8
2023072400;1003.1;1001.3
2023072401;1002.7;1000.9
2023072402;1002.5;1000.7
2023072403;1002.4;1000.6
2023072404;1002.3;1000.5
2023072405;1002.4;1000.6
2023072406;1001.9;1000.1
2023072407;1001.6;999.8
2023072408;1001.7;999.9
2023072409;1001.5;999.7
2023072410;1001.2;999.5
2023072411;1000.7;999.0
2023072412;1000.4;998.7
2023072413;999.8;998.1
2023072414;999.3;997.6
2023072415;998.5;996.8
2023072416;999.1;997.3
2023072417;1000.1;998.3
2023072418;1000.3;998.5
2023072419;999.8;998.0
2023072420;1000.6;998.8
2023072421;1001.3;999.5
2023072422;1001.9;1000.1
2023072423;1002.4;1000.6
2023072500;1002.4;1000.6
2023072501;1002.8;1001.0
2023072502;1003.2;1001.4
2023072503;1003.4;1001.6
2023072504;1003.6;1001.8
2023072505;1003.5;1001.7
2023072506;1003.7;1001.9
2023072507;1003.6;1001.8
2023072508;1004.3;1002.5
2023072509;1004.4;1002.6
2023072510;1004.4;1002.6
2023072511;1004.4;1002.6
2023072512;1004.4;1002.6
2023072513;1004.4;1002.6
2023072514;1004.8;1003.0
2023072515;1005.2;1003.4
2023072516;1005.5;1003.7
2023072517;1005.7;1003.9
2023072518;1006.0;1004.2
2023072519;1006.4;1004.6
2023072520;1006.8;1005.0
2023072521;1007.0;1005.2
2023072522;1007.4;1005.6
2023072523;1007.6;1005.8
2023072600;1007.6;1005.8
2023072601;1007.8;1006.0
2023072602;1008.0;1006.2
2023072603;1008.0;1006.2
2023072604;1008.3;1006.5
2023072605;1008.6;1006.8
2023072606;1008.9;1007.1
2023072607;1009.3;1007.5
2023072608;1009.5;1007.7
2023072609;1009.5;1007.7
2023072610;1009.3;1007.5
2023072611;1009.3;1007.5
2023072612;1009.4;1007.6
2023072613;1009.8;1008.0
2023072614;1009.8;1008.0
2023072615;1010.1;1008.3
2023072616;1010.3;1008.5
2023072617;1010.3;1008.5
2023072618;1010.2;1008.4
2023072619;1010.4;1008.6
2023072620;1010.9;1009.1
2023072621;1010.9;1009.1
2023072622;1010.7;1008.9
2023072623;1010.4;1008.6
2023072700;1010.0;1008.2
2023072701;1009.6;1007.8
2023072702;1009.2;1007.4
2023072703;1008.7;1006.9
2023072704;1008.6;1006.8
2023072705;1008.1;1006.3
2023072706;1007.8;1006.0
2023072707;1007.5;1005.7
2023072708;1007.2;1005.4
2023072709;1006.7;1004.9
2023072710;1006.6;1004.8
2023072711;1006.0;1004.2
2023072712;1005.3;1003.5
2023072713;1004.8;1003.0
2023072714;1004.3;1002.5
2023072715;1004.1;1002.3
2023072716;1003.6;1001.8
2023072717;1003.1;1001.3
2023072718;1002.9;1001.1
2023072719;1002.9;1001.1
2023072720;1002.6;1000.8
2023072721;1002.5;1000.7
2023072722;1002.1;1000.3
2023072723;1001.8;1000.0
2023072800;1001.8;1000.0
2023072801;1001.5;999.7
2023072802;1001.4;999.6
2023072803;1001.8;1000.0
2023072804;1002.2;1000.4
2023072805;1002.6;1000.8
2023072806;1003.0;1001.2
2023072807;1003.5;1001.7
2023072808;1004.3;1002.5
2023072809;1004.8;1003.0
2023072810;1005.0;1003.2
2023072811;1005.4;1003.6
2023072812;1005.6;1003.8
2023072813;1006.0;1004.2
2023072814;1006.3;1004.5
2023072815;1006.3;1004.6
2023072816;1006.3;1004.6
2023072817;1006.5;1004.8
2023072818;1006.7;1004.9
2023072819;1007.1;1005.3
2023072820;1007.3;1005.5
2023072821;1007.6;1005.8
2023072822;1007.4;1005.6
2023072823;1007.4;1005.6
2023072900;1007.3;1005.5
2023072901;1006.6;1004.8
2023072902;1006.3;1004.5
2023072903;1005.9;1004.1
2023072904;1005.8;1004.0
2023072905;1005.8;1004.0
2023072906;1005.6;1003.8
2023072907;1005.4;1003.6
2023072908;1005.5;1003.7
2023072909;1005.6;1003.8
2023072910;1005.1;1003.4
2023072911;1004.9;1003.2
2023072912;1004.9;1003.2
2023072913;1004.8;1003.1
2023072914;1004.9;1003.2
2023072915;1005.0;1003.3
2023072916;1005.0;1003.3
2023072917;1006.1;1004.3
2023072918;1006.4;1004.6
2023072919;1006.7;1004.9
2023072920;1007.1;1005.3
2023072921;1007.0;1005.2
2023072922;1007.1;1005.3
2023072923;1007.2;1005.4
2023073000;1007.2;1005.4
2023073001;1007.1;1005.3
2023073002;1007.1;1005.3
2023073003;1007.3;1005.5
2023073004;1007.6;1005.8
2023073005;1007.7;1005.9
2023073006;1007.7;1005.9
2023073007;1007.9;1006.1
2023073008;1008.1;1006.3
2023073009;1007.8;1006.0
2023073010;1008.1;1006.3
2023073011;1008.5;1006.7
2023073012;1008.2;1006.4
2023073013;1007.8;1006.0
2023073014;1009.4;1007.6
2023073015;1008.9;1007.1
2023073016;1009.0;1007.2
2023073017;1009.1;1007.3
2023073018;1009.4;1007.6
2023073019;1010.0;1008.2
2023073020;1010.2;1008.4
2023073021;1009.8;1008.0
2023073022;1009.4;1007.6
2023073023;1008.8;1007.0
2023073100;1008.3;1006.5
2023073101;1007.9;1006.1
2023073102;1007.4;1005.6
2023073103;1006.8;1005.0
2023073104;1006.5;1004.7
2023073105;1006.2;1004.4
2023073106;1005.9;1004.1
2023073107;1005.8;1004.0
2023073108;1005.6;1003.8
2023073109;1005.2;1003.4
2023073110;1004.7;1002.9
2023073111;1004.4;1002.6
2023073112;1004.0;1002.2
2023073113;1003.5;1001.7
2023073114;1002.9;1001.1
2023073115;1002.3;1000.5
2023073116;1002.0;1000.2
2023073117;1002.0;1000.2
2023073118;1001.7;999.9
2023073119;1001.3;999.5
2023073120;1000.8;999.0
2023073121;1000.1;998.3
2023073122;999.2;997.4
2023073123;998.1;996.3
2023080100;997.6;995.8
2023080101;996.6;994.8
2023080102;995.8;994.0
2023080103;995.1;993.3
2023080104;994.6;992.8
2023080105;994.6;992.8
2023080106;994.6;992.8
2023080107;994.7;992.9
2023080108;994.9;993.1
2023080109;994.8;993.1
2023080110;994.7;993.0
2023080111;995.0;993.2
2023080112;995.5;993.7
2023080113;995.8;994.0
2023080114;995.9;994.1
2023080115;996.4;994.6
2023080116;997.0;995.2
2023080117;997.2;995.4
2023080118;997.3;995.5
2023080119;997.8;996.0
2023080120;998.5;996.7
2023080121;998.7;996.9
2023080122;998.8;997.0
2023080123;998.7;996.9
2023080200;998.7;996.9
2023080201;998.8;997.0
2023080202;998.5;996.7
2023080203;998.4;996.6
2023080204;998.5;996.7
2023080205;998.5;996.7
2023080206;998.2;996.4
2023080207;998.0;996.2
2023080208;997.5;995.7
2023080209;997.2;995.4
2023080210;996.0;994.3
2023080211;995.1;993.4
2023080212;994.4;992.7
2023080213;993.3;991.6
2023080214;992.6;990.9
2023080215;991.4;989.7
2023080216;990.5;988.8
2023080217;989.6;987.9
2023080218;989.6;987.9
2023080219;989.3;987.6
2023080220;990.0;988.3
2023080221;990.2;988.4
2023080222;990.7;988.9
2023080223;991.2;989.4
2023080300;991.1;989.3
2023080301;991.0;989.2
2023080302;990.6;988.8
2023080303;990.2;988.4
2023080304;989.9;988.1
2023080305;989.8;988.0
2023080306;989.9;988.1
2023080307;990.2;988.5
2023080308;990.8;989.1
2023080309;991.6;989.9
2023080310;992.4;990.7
