MESS_DATUM;TT_TU;RF_TU
2015010100;4.0;90.0
2015010101;4.1;89.0
2015010102;3.5;90.0
2015010103;3.3;91.0
2015010104;3.1;92.0
2015010105;3.5;91.0
2015010106;3.5;90.0
2015010107;3.1;90.0
2015010108;2.0;92.0
2015010109;2.3;88.0
2015010110;3.0;87.0
2015010111;3.6;85.0
2015010112;3.6;84.0
2015010113;4.1;81.0
2015010114;4.1;82.0
2015010115;3.9;84.0
2015010116;3.7;81.0
2015010117;3.9;80.0
2015010118;3.6;82.0
2015010119;3.6;77.0
2015010120;3.9;74.0
2015010121;4.3;75.0
2015010122;4.6;76.0
2015010123;4.9;76.0
2015010200;5.3;76.0
2015010201;4.3;85.0
2015010202;4.6;86.0
2015010203;5.1;87.0
2015010204;5.2;93.0
2015010205;5.6;95.0
2015010206;6.2;95.0
2015010207;6.6;95.0
2015010208;7.2;94.0
2015010209;8.0;91.0
2015010210;9.2;70.0
2015010211;8.2;72.0
2015010212;8.1;69.0
2015010213;8.0;66.0
2015010214;7.8;66.0
2015010215;7.2;68.0
2015010216;7.2;69.0
2015010217;6.6;77.0
2015010218;5.5;83.0
2015010219;5.0;83.0
2015010220;5.5;80.0
2015010221;5.0;83.0
2015010222;5.3;80.0
2015010223;5.1;80.0
2015010300;5.3;78.0
2015010301;5.9;71.0
2015010302;5.8;73.0
2015010303;5.2;77.0
2015010304;4.7;82.0
2015010305;4.7;83.0
2015010306;4.5;80.0
2015010307;4.3;77.0
2015010308;4.2;77.0
2015010309;4.5;74.0
2015010310;4.7;77.0
2015010311;5.2;76.0
2015010312;5.5;76.0
2015010313;5.5;80.0
2015010314;5.5;83.0
2015010315;4.8;90.0
2015010316;4.6;90.0
2015010317;4.0;94.0
2015010318;3.4;92.0
2015010319;3.0;91.0
2015010320;2.9;95.0
2015010321;3.4;94.0
2015010322;3.4;91.0
2015010323;3.7;87.0
2015010400;3.7;87.0
2015010401;3.8;88.0
2015010402;4.0;86.0
2015010403;3.9;88.0
2015010404;3.7;90.0
2015010405;3.3;88.0
2015010406;3.1;87.0
2015010407;3.0;88.0
2015010408;2.9;88.0
2015010409;3.5;85.0
2015010410;4.3;85.0
2015010411;5.2;80.0
2015010412;5.9;74.0
2015010413;6.0;73.0
2015010414;6.0;76.0
2015010415;5.0;78.0
2015010416;4.2;81.0
2015010417;3.5;88.0
2015010418;3.4;91.0
2015010419;3.6;90.0
2015010420;3.4;91.0
2015010421;3.7;89.0
2015010422;3.1;89.0
2015010423;3.1;90.0
2015010500;3.9;87.0
2015010501;3.9;87.0
2015010502;3.9;87.0
2015010503;3.7;90.0
2015010504;4.1;88.0
2015010505;4.0;88.0
2015010506;3.8;87.0
2015010507;3.8;85.0
2015010508;3.0;87.0
2015010509;2.6;90.0
2015010510;3.4;89.0
2015010511;3.9;89.0
2015010512;4.1;90.0
2015010513;4.4;89.0
2015010514;4.1;93.0
2015010515;4.1;94.0
2015010516;4.1;93.0
2015010517;3.9;94.0
2015010518;4.0;91.0
2015010519;4.2;88.0
2015010520;4.0;89.0
2015010521;3.6;91.0
2015010522;3.3;92.0
2015010523;3.0;94.0
2015010600;3.0;91.0
2015010601;3.0;90.0
2015010602;2.9;90.0
2015010603;2.9;90.0
2015010604;2.8;91.0
2015010605;2.9;92.0
2015010606;2.9;90.0
2015010607;2.8;90.0
2015010608;2.6;91.0
2015010609;2.7;90.0
2015010610;3.1;88.0
2015010611;3.6;82.0
2015010612;3.9;75.0
2015010613;3.7;77.0
2015010614;3.9;73.0
2015010615;3.6;77.0
2015010616;3.3;79.0
2015010617;3.3;78.0
2015010618;2.6;81.0
2015010619;2.2;82.0
2015010620;2.2;84.0
2015010621;2.1;84.0
2015010622;1.5;85.0
2015010623;1.9;84.0
2015010700;2.5;80.0
2015010701;1.7;92.0
2015010702;1.8;96.0
2015010703;2.3;96.0
2015010704;3.0;98.0
