MESS_DATUM;F;D
2015010100;4.9;260
2015010101;4.7;260
2015010102;5.1;250
2015010103;4.8;240
2015010104;5.3;230
2015010105;5.2;230
2015010106;5.6;230
2015010107;5.8;230
2015010108;6.1;220
2015010109;5.1;230
2015010110;6.4;230
2015010111;6.6;230
2015010112;7.8;230
2015010113;6.4;240
2015010114;5.6;240
2015010115;5.5;230
2015010116;5.1;230
2015010117;6.6;230
2015010118;7.1;220
2015010119;7.7;220
2015010120;8.1;220
2015010121;9.4;220
2015010122;9.2;210
2015010123;9.7;220
2015010200;9.6;220
2015010201;10.1;230
2015010202;9.7;220
2015010203;8.6;230
2015010204;9.0;230
2015010205;9.6;230
2015010206;9.7;230
2015010207;9.7;240
2015010208;10.1;240
2015010209;9.2;250
2015010210;8.9;260
2015010211;10.9;270
2015010212;10.4;270
2015010213;10.9;280
2015010214;11.2;280
2015010215;10.7;270
2015010216;10.2;270
2015010217;9.5;270
2015010218;9.1;270
2015010219;9.3;270
2015010220;7.2;260
2015010221;6.6;260
2015010222;7.9;260
2015010223;8.3;270
2015010300;7.3;270
2015010301;7.7;270
2015010302;7.0;270
2015010303;6.7;260
2015010304;6.9;250
2015010305;7.8;250
2015010306;8.4;250
2015010307;9.1;240
2015010308;7.5;240
2015010309;7.7;250
2015010310;8.7;240
2015010311;8.3;250
2015010312;8.7;250
2015010313;9.5;250
2015010314;8.8;260
2015010315;8.6;260
2015010316;6.7;270
2015010317;5.8;290
2015010318;6.5;280
2015010319;4.1;270
2015010320;3.1;260
2015010321;3.4;260
2015010322;4.3;270
2015010323;5.0;280
2015010400;5.0;280
2015010401;5.4;280
2015010402;5.5;290
2015010403;5.4;290
2015010404;4.7;280
2015010405;4.9;280
2015010406;4.1;290
2015010407;3.9;280
2015010408;3.1;300
2015010409;4.4;280
2015010410;5.6;290
2015010411;5.7;290
2015010412;6.3;300
2015010413;7.7;300
2015010414;7.7;300
2015010415;6.6;300
2015010416;5.1;290
2015010417;4.9;290
2015010418;3.9;280
2015010419;3.1;270
2015010420;2.4;250
2015010421;3.5;260
2015010422;4.2;260
2015010423;3.8;260
2015010500;3.7;260
2015010501;4.6;260
2015010502;5.1;260
2015010503;4.8;250
2015010504;5.1;260
2015010505;5.3;260
2015010506;5.1;270
2015010507;5.8;270
2015010508;5.4;270
2015010509;5.2;260
2015010510;4.4;260
2015010511;4.4;270
2015010512;4.0;260
2015010513;2.8;260
2015010514;2.7;260
2015010515;2.7;250
2015010516;2.6;250
2015010517;2.8;240
2015010518;2.4;240
2015010519;2.8;250
2015010520;3.0;240
2015010521;2.7;240
2015010522;2.9;240
2015010523;2.5;230
2015010600;2.6;220
2015010601;2.2;230
2015010602;1.8;210
2015010603;2.4;210
2015010604;1.9;210
2015010605;1.4;200
2015010606;3.0;160
2015010607;3.6;140
2015010608;4.3;140
2015010609;4.7;140
2015010610;5.2;150
2015010611;4.5;150
2015010612;5.9;160
2015010613;6.2;170
