MESS_DATUM;TT_TU;RF_TU
2023062200;20.6;70.0
2023062201;20.2;69.0
2023062202;20.0;71.0
2023062203;19.4;74.0
2023062204;19.4;76.0
2023062205;20.5;75.0
2023062206;21.2;76.0
2023062207;22.0;73.0
2023062208;23.5;68.0
2023062209;25.8;61.0
2023062210;26.6;58.0
2023062211;23.6;77.0
2023062212;21.8;92.0
2023062213;23.7;82.0
2023062214;25.6;70.0
2023062215;23.2;80.0
2023062216;20.8;93.0
2023062217;21.3;86.0
2023062218;21.6;87.0
2023062219;21.7;90.0
2023062220;19.3;89.0
2023062221;17.1;92.0
2023062222;17.5;88.0
2023062223;17.5;88.0
2023062300;17.0;88.0
2023062301;17.0;87.0
2023062302;16.7;86.0
2023062303;15.9;89.0
2023062304;16.1;87.0
2023062305;16.2;88.0
2023062306;16.3;89.0
2023062307;17.2;85.0
2023062308;19.1;79.0
2023062309;20.2;65.0
2023062310;22.1;61.0
2023062311;21.7;59.0
2023062312;23.7;56.0
2023062313;24.3;43.0
2023062314;25.4;40.0
2023062315;25.6;40.0
2023062316;24.8;41.0
2023062317;24.1;46.0
2023062318;23.7;48.0
2023062319;22.5;56.0
2023062320;19.7;71.0
2023062321;18.0;75.0
2023062322;17.3;81.0
2023062323;16.5;85.0
2023062400;15.0;92.0
2023062401;14.3;95.0
2023062402;13.9;93.0
2023062403;14.1;92.0
2023062404;12.9;91.0
2023062405;14.9;88.0
2023062406;17.5;80.0
2023062407;19.8;71.0
2023062408;22.1;61.0
2023062409;23.5;55.0
2023062410;24.7;50.0
2023062411;26.1;44.0
2023062412;26.9;40.0
2023062413;27.3;37.0
2023062414;27.8;38.0
2023062415;28.6;34.0
2023062416;27.5;36.0
2023062417;27.7;34.0
2023062418;27.1;35.0
2023062419;25.3;41.0
2023062420;21.6;56.0
2023062421;18.1;74.0
2023062422;16.9;81.0
2023062423;16.9;76.0
2023062500;16.7;75.0
2023062501;15.6;85.0
2023062502;13.8;89.0
2023062503;14.3;89.0
2023062504;13.3;89.0
2023062505;15.3;87.0
2023062506;20.0;75.0
2023062507;22.4;59.0
2023062508;24.8;53.0
2023062509;27.1;44.0
2023062510;28.1;36.0
2023062511;28.6;33.0
