MESS_DATUM;F;D
2023071700;1.1;130
2023071701;1.4;150
2023071702;2.3;270
2023071703;1.6;270
2023071704;1.6;180
2023071705;1.2;120
2023071706;1.5;210
2023071707;3.9;250
2023071708;3.4;260
2023071709;3.7;250
2023071710;4.6;260
2023071711;5.0;270
2023071712;4.9;270
2023071713;5.8;270
2023071714;5.2;270
2023071715;4.5;270
2023071716;5.2;280
2023071717;5.5;300
2023071718;7.1;330
2023071719;3.3;350
2023071720;1.8;350
2023071721;1.1;130
2023071722;1.4;130
2023071723;2.1;110
2023071800;1.8;120
2023071801;1.5;100
2023071802;2.3;120
2023071803;2.2;120
2023071804;1.7;110
2023071805;1.7;110
2023071806;1.8;110
2023071807;2.1;110
2023071808;1.3;120
2023071809;2.2;170
2023071810;2.2;210
2023071811;2.3;240
2023071812;1.4;120
2023071813;2.1;290
2023071814;2.1;300
2023071815;2.4;350
2023071816;2.5;300
2023071817;2.5;350
2023071818;2.6;40
2023071819;2.6;40
2023071820;2.7;20
2023071821;3.1;350
2023071822;1.7;10
2023071823;1.2;50
2023071900;1.1;130
2023071901;2.0;120
2023071902;2.2;120
2023071903;2.5;120
2023071904;2.3;120
2023071905;2.1;120
2023071906;0.6;130
2023071907;1.5;140
2023071908;1.3;120
2023071909;1.2;160
2023071910;1.6;310
2023071911;3.1;350
2023071912;3.3;310
2023071913;3.2;300
2023071914;5.2;300
2023071915;6.5;300
2023071916;6.1;280
2023071917;6.4;290
2023071918;5.8;290
2023071919;5.8;310
2023071920;4.9;290
2023071921;4.7;300
2023071922;3.5;290
2023071923;2.5;280
2023072000;2.6;280
2023072001;2.2;270
2023072002;2.5;240
2023072003;2.8;240
2023072004;2.3;250
2023072005;2.5;250
2023072006;3.2;270
2023072007;3.2;270
2023072008;3.2;290
2023072009;3.0;280
2023072010;3.2;300
2023072011;3.3;290
2023072012;2.6;290
2023072013;2.5;300
2023072014;3.9;330
2023072015;3.3;330
2023072016;3.3;290
2023072017;2.7;340
2023072018;2.9;360
2023072019;2.9;10
2023072020;2.3;40
2023072021;2.0;90
2023072022;4.6;320
2023072023;4.6;350
2023072100;2.7;50
2023072101;1.7;140
2023072102;1.5;160
2023072103;1.1;360
2023072104;2.0;300
2023072105;2.4;60
2023072106;1.1;120
2023072107;1.4;190
2023072108;1.2;280
2023072109;1.1;220
2023072110;1.3;230
2023072111;3.0;290
2023072112;3.9;300
2023072113;4.0;250
2023072114;5.5;170
2023072115;4.5;260
2023072116;5.4;300
2023072117;3.0;280
2023072118;3.0;280
2023072119;3.7;280
2023072120;3.3;270
2023072121;2.6;270
2023072122;2.4;270
