date,T_temperature_C_weather_forecast_Hamburg,T_temperature_standarddeviation_C_weather_forecast_Hamburg,precipitationTotal_mm_weather_forecast_Hamburg,sunshine_min_weather_forecast_Hamburg,surfacePressure_hPa_weather_forecast_Hamburg,humidity_Percent_weather_forecast_Hamburg,isDay_bool_weather_forecast_Hamburg
2025011723,-1.2,0.9,0.0,0.0,1037.4,99.3,False
2025011800,-1.2,1.2,0.0,0.0,1036.9,100.0,False
2025011801,-1.1,1.3,0.0,0.0,1036.3,100.0,False
2025011802,-1.0,1.4,0.0,0.0,1036.0,98.5,False
2025011803,-0.8,1.4,0.0,0.0,1035.8,97.8,False
2025011804,-0.8,1.5,0.0,0.0,1035.7,97.1,False
2025011805,-0.8,1.5,0.0,0.0,1035.5,96.4,False
2025011806,-0.8,1.5,0.0,0.0,1035.4,97.1,False
2025011807,-1.2,1.6,0.0,0.0,1035.3,99.3,False
2025011808,-1.1,1.6,0.0,0.0,1035.1,98.5,True
2025011809,-1.1,1.5,0.0,0.0,1035.1,96.4,True
2025011810,-0.7,1.6,0.0,0.0,1035.0,93.6,True
2025011811,-0.1,1.6,0.0,0.0,1035.0,90.3,True
2025011812,0.0,1.7,0.0,20.0,1034.6,89.6,True
2025011813,0.4,1.6,0.0,90.0,1034.4,87.1,True
2025011814,1.2,1.6,0.0,110.0,1033.7,81.6,True
2025011815,1.5,1.7,0.0,130.0,1033.4,78.7,True
2025011816,1.4,1.5,0.0,50.0,1033.0,77.5,True
2025011817,0.9,1.5,0.0,50.0,1032.8,79.2,False
2025011818,0.3,1.4,0.0,0.0,1032.5,80.3,False
2025011819,-0.4,1.4,0.0,0.0,1032.3,83.2,False
2025011820,-1.0,1.4,0.0,0.0,1031.8,85.6,False
2025011821,-1.1,1.4,0.0,0.0,1031.6,85.6,False
2025011822,-1.5,1.4,0.0,0.0,1031.2,88.2,False
2025011823,-1.8,1.5,0.0,0.0,1030.6,89.5,False
2025011900,-1.9,1.5,0.0,0.0,1030.4,89.5,False
2025011901,-2.2,1.4,0.0,0.0,1029.7,90.1,False
2025011902,-2.5,1.5,0.0,0.0,1029.4,90.1,False
2025011903,-2.8,1.5,0.0,0.0,1028.9,90.7,False
2025011904,-2.9,1.5,0.0,0.0,1028.4,90.7,False
2025011905,-3.2,1.4,0.0,0.0,1027.9,94.9,False
2025011906,-3.0,1.4,0.0,0.0,1027.2,92.1,False
2025011907,-2.8,1.4,0.0,0.0,1026.7,92.1,False
2025011908,-2.7,1.3,0.0,0.0,1026.5,94.9,True
2025011909,-1.9,1.4,0.0,130.0,1026.3,92.9,True
2025011910,-0.9,1.4,0.0,220.0,1026.0,89.6,True
2025011911,0.3,1.5,0.0,300.0,1025.4,85.8,True
2025011912,1.4,1.5,0.0,320.0,1024.8,80.4,True
2025011913,2.3,1.6,0.0,290.0,1024.1,76.5,True
2025011914,3.5,1.7,0.0,260.0,1023.5,71.3,True
2025011915,4.2,1.7,0.0,270.0,1023.1,68.4,True
2025011916,3.9,1.7,0.0,220.0,1022.8,69.9,True
2025011917,3.7,1.6,0.0,130.0,1022.7,71.4,False
2025011918,3.1,1.4,0.0,0.0,1022.4,73.4,False
2025011919,2.4,1.4,0.0,0.0,1022.3,78.2,False
2025011920,1.9,1.4,0.0,0.0,1022.0,81.7,False
2025011921,1.5,1.5,0.0,0.0,1021.9,82.2,False
2025011922,1.1,1.4,0.0,0.0,1021.6,85.2,False
2025011923,0.8,1.5,0.0,0.0,1021.4,86.5,False
2025012000,0.7,1.5,0.0,0.0,1021.1,87.1,False
2025012001,0.1,1.6,0.0,0.0,1020.8,89.0,False
2025012002,-0.2,1.6,0.0,0.0,1020.5,89.0,False
2025012003,-0.3,1.6,0.0,0.0,1020.3,88.3,False
2025012004,-0.6,1.6,0.0,0.0,1020.2,92.9,False
2025012005,-0.5,1.6,0.0,0.0,1019.9,89.6,False
2025012006,-0.5,1.6,0.0,0.0,1020.1,89.6,False
2025012007,-0.7,1.6,0.0,0.0,1020.0,90.2,False
2025012008,-0.7,1.6,0.0,0.0,1020.3,90.9,True
2025012009,-0.3,1.6,0.0,50.0,1020.5,89.6,True
2025012010,0.3,1.5,0.0,100.0,1020.5,87.7,True
2025012011,0.7,1.5,0.0,140.0,1020.4,89.0,True
2025012012,1.3,1.5,0.0,170.0,1020.7,84.6,True
2025012013,1.6,1.5,0.0,140.0,1020.2,83.5,True
2025012014,1.9,1.5,0.0,150.0,1020.1,82.3,True
2025012015,1.8,1.5,0.0,130.0,1020.0,82.9,True
