date,T_temperature_C_weather_forecast_KoelnBonn,T_temperature_standarddeviation_C_weather_forecast_KoelnBonn,precipitationTotal_mm_weather_forecast_KoelnBonn,sunshine_min_weather_forecast_KoelnBonn,surfacePressure_hPa_weather_forecast_KoelnBonn,humidity_Percent_weather_forecast_KoelnBonn,isDay_bool_weather_forecast_KoelnBonn
2025011923,-1.8,0.0,0.0,60.0,1020.4,84.5,False
2025012000,-1.7,0.0,0.0,90.0,1020.2,85.8,False
2025012001,-1.8,0.0,0.0,170.0,1020.1,87.6,False
2025012002,-1.8,0.0,0.0,150.0,1020.0,91.6,False
2025012003,-2.0,0.0,1.0,110.0,1020.1,92.9,False
2025012004,-2.1,0.0,0.0,0.0,1020.0,95.0,False
2025012005,-2.2,0.0,0.0,0.0,1020.0,94.3,False
2025012006,-2.3,0.0,0.0,0.0,1020.0,94.3,False
2025012007,-2.1,0.0,0.0,0.0,1019.9,95.7,True
2025012008,-2.0,0.0,0.0,0.0,1019.8,97.1,True
2025012009,-1.9,0.0,0.0,0.0,1019.7,98.5,True
2025012010,-1.9,0.0,0.0,0.0,1019.6,97.1,True
2025012011,-1.8,0.0,0.0,0.0,1019.6,96.4,True
2025012012,-1.2,0.0,0.0,0.0,1019.5,94.9,True
2025012013,-0.6,0.0,0.0,0.0,1019.3,95.7,True
2025012014,0.3,1.4,0.0,0.0,1019.1,94.2,True
2025012015,0.2,1.4,0.0,0.0,1019.1,94.2,True
2025012016,-0.2,1.4,0.0,0.0,1018.8,89.5,False
2025012017,-0.8,1.2,0.0,0.0,1018.7,90.2,False
2025012018,-1.1,1.4,0.0,0.0,1018.7,88.2,False
2025012019,-1.5,1.5,0.0,70.0,1018.5,82.1,False
2025012020,-1.5,1.5,0.0,150.0,1018.2,77.0,False
2025012021,-1.6,1.6,0.0,210.0,1018.0,73.9,False
2025012022,-1.8,1.6,0.0,250.0,1017.2,68.8,False
2025012023,-2.0,1.5,0.0,350.0,1016.8,68.4,False
2025012100,-2.2,1.6,0.0,360.0,1016.4,71.4,False
2025012101,-2.2,1.6,0.0,340.0,1016.3,73.4,False
2025012102,-2.2,1.6,0.0,280.0,1016.1,75.5,False
2025012103,-2.1,1.6,0.0,170.0,1016.0,77.7,False
2025012104,-2.2,1.5,0.0,0.0,1015.5,79.4,False
2025012105,-2.1,1.6,0.0,0.0,1015.4,79.4,False
2025012106,-2.1,1.6,0.0,0.0,1014.8,79.3,False
2025012107,-1.9,1.6,0.0,0.0,1014.6,77.6,True
2025012108,-1.6,1.7,0.0,0.0,1013.9,77.6,True
2025012109,-0.8,1.5,0.0,0.0,1013.6,76.5,True
2025012110,0.4,1.4,0.0,0.0,1012.7,75.4,True
2025012111,1.8,1.4,0.0,0.0,1012.1,74.3,True
2025012112,2.8,1.4,0.0,0.0,1011.4,73.7,True
2025012113,3.7,1.5,0.0,0.0,1010.5,74.3,True
2025012114,4.0,1.5,0.0,0.0,1009.9,74.3,True
2025012115,3.7,1.6,0.0,0.0,1009.7,73.2,True
2025012116,3.3,1.5,0.0,0.0,1009.1,72.7,False
2025012117,2.7,1.5,0.0,0.0,1008.7,71.2,False
2025012118,2.4,1.5,0.0,0.0,1008.5,70.2,False
2025012119,2.3,1.5,0.0,30.0,1007.9,70.8,False
2025012120,2.1,1.4,0.0,60.0,1007.2,71.9,False
2025012121,1.9,1.4,0.0,70.0,1006.4,73.6,False
2025012122,2.0,1.4,0.0,40.0,1005.6,74.7,False
2025012123,2.1,1.4,0.0,50.0,1004.9,77.5,False
2025012200,1.9,1.4,0.0,20.0,1004.1,79.7,False
2025012201,2.1,1.4,0.0,0.0,1003.5,82.6,False
2025012202,2.2,1.4,0.0,0.0,1003.1,84.4,False
2025012203,2.2,1.4,0.0,0.0,1002.6,87.4,False
2025012204,2.2,1.4,0.0,0.0,1002.1,88.1,False
