date,T_temperature_C_weather_forecast_Muenchen,T_temperature_standarddeviation_C_weather_forecast_Muenchen,precipitationTotal_mm_weather_forecast_Muenchen,sunshine_min_weather_forecast_Muenchen,surfacePressure_hPa_weather_forecast_Muenchen,humidity_Percent_weather_forecast_Muenchen,isDay_bool_weather_forecast_Muenchen
2025011723,-0.4,0.9,0.0,0.0,1036.1,90.9,False
2025011800,-0.7,1.0,0.0,0.0,1036.0,91.6,False
2025011801,-1.0,1.2,0.0,0.0,1035.5,92.9,False
2025011802,-1.5,1.3,0.0,0.0,1035.5,93.6,False
2025011803,-1.4,1.3,0.0,0.0,1035.3,91.5,False
2025011804,-1.8,1.4,0.0,0.0,1034.5,91.5,False
2025011805,-2.5,1.5,0.0,0.0,1034.4,93.5,False
2025011806,-2.7,1.5,0.0,0.0,1034.3,94.2,False
2025011807,-3.0,1.4,0.0,0.0,1034.2,95.6,False
2025011808,-2.8,1.6,0.0,40.0,1034.5,94.2,True
2025011809,-2.4,1.7,0.0,110.0,1034.3,92.1,True
2025011810,-1.5,1.5,0.0,170.0,1034.0,90.2,True
2025011811,-0.5,1.5,0.0,220.0,1033.7,85.7,True
2025011812,0.4,1.5,0.0,280.0,1033.0,79.7,True
2025011813,1.1,1.6,0.0,360.0,1032.3,76.3,True
2025011814,1.7,1.6,0.0,390.0,1031.3,73.7,True
2025011815,1.8,1.7,0.0,370.0,1030.9,71.5,True
2025011816,1.5,1.7,0.0,330.0,1030.7,73.1,True
2025011817,1.0,1.6,0.0,220.0,1030.6,73.5,False
2025011818,0.1,1.6,0.0,0.0,1030.6,79.0,False
2025011819,-0.8,1.6,0.0,0.0,1030.6,83.8,False
2025011820,-1.4,1.7,0.0,0.0,1030.3,85.6,False
2025011821,-1.5,1.8,0.0,0.0,1029.8,84.3,False
2025011822,-2.0,1.8,0.0,0.0,1029.5,86.8,False
2025011823,-2.2,1.7,0.0,0.0,1029.2,88.1,False
2025011900,-2.3,1.7,0.0,0.0,1029.1,86.1,False
2025011901,-2.5,1.6,0.0,0.0,1028.6,86.8,False
2025011902,-2.8,1.5,0.0,0.0,1028.3,87.4,False
2025011903,-2.6,1.6,0.0,0.0,1027.6,85.5,False
2025011904,-2.7,1.7,0.0,0.0,1027.6,84.2,False
2025011905,-3.1,1.7,0.0,0.0,1027.0,88.0,False
2025011906,-3.4,1.7,0.0,0.0,1027.0,89.3,False
2025011907,-3.3,1.6,0.0,0.0,1026.1,88.7,False
2025011908,-2.9,1.7,0.0,90.0,1026.2,88.7,True
2025011909,-2.0,1.6,0.0,210.0,1025.8,87.5,True
2025011910,-0.5,1.5,0.0,380.0,1025.4,82.6,True
2025011911,1.0,1.6,0.0,450.0,1024.7,77.4,True
2025011912,2.1,1.6,0.0,460.0,1024.0,73.7,True
2025011913,3.0,1.7,0.0,480.0,1023.2,70.7,True
2025011914,4.0,1.8,0.0,450.0,1022.8,68.9,True
2025011915,4.2,1.9,0.0,390.0,1022.5,68.9,True
2025011916,3.3,1.9,0.0,300.0,1022.1,74.5,True
2025011917,2.4,1.7,0.0,200.0,1022.6,77.7,False
2025011918,1.3,1.7,0.0,0.0,1022.8,82.8,False
2025011919,0.2,1.6,0.0,0.0,1023.1,87.0,False
2025011920,-0.5,1.6,0.0,0.0,1023.2,89.6,False
2025011921,-1.1,1.7,0.0,0.0,1023.4,90.9,False
2025011922,-1.5,1.7,0.0,0.0,1023.7,92.9,False
2025011923,-2.0,1.7,0.0,0.0,1023.6,93.6,False
2025012000,-2.4,1.7,0.0,0.0,1023.8,94.2,False
2025012001,-2.6,1.7,0.0,0.0,1023.9,94.2,False
2025012002,-2.8,1.7,0.0,0.0,1024.0,94.2,False
2025012003,-3.2,1.7,0.0,0.0,1023.8,96.3,False
2025012004,-3.5,1.7,0.0,0.0,1023.6,99.3,False
2025012005,-3.3,1.8,0.0,0.0,1023.7,97.8,False
2025012006,-3.4,1.7,0.0,0.0,1023.7,98.5,False
2025012007,-3.1,1.8,0.0,0.0,1023.9,96.3,False
2025012008,-2.7,1.8,0.0,50.0,1023.8,94.9,True
2025012009,-2.1,1.6,0.0,160.0,1023.9,94.2,True
2025012010,-0.9,1.6,0.0,230.0,1023.6,88.9,True
2025012011,0.3,1.6,0.0,330.0,1023.4,85.8,True
2025012012,1.9,1.7,0.0,370.0,1022.9,78.7,True
2025012013,2.7,1.7,0.0,380.0,1022.3,76.6,True
2025012014,3.5,1.8,0.0,380.0,1022.0,74.0,True
2025012015,3.7,1.9,0.0,320.0,1021.6,75.1,True
2025012016,3.2,1.8,0.0,260.0,1021.7,78.4,True
2025012017,2.4,1.8,0.0,160.0,1021.9,81.7,False
2025012018,1.3,1.6,0.0,0.0,1022.2,87.2,False
2025012019,0.2,1.6,0.0,0.0,1022.4,92.3,False
2025012020,-0.4,1.6,0.0,0.0,1022.4,94.3,False
2025012021,-1.0,1.5,0.0,0.0,1022.4,95.0,False
2025012022,-1.4,1.6,0.0,0.0,1022.4,96.4,False
2025012023,-1.9,1.5,0.0,0.0,1022.4,98.5,False
2025012100,-2.2,1.5,,0.0,1022.2,97.8,
2025012101,-2.5,1.5,,,,,
2025012102,-2.5,1.6,,,,,
2025012103,-2.7,1.6,,,,,
2025012104,-2.9,1.6,,,,,
2025012105,-3.0,1.6,,,,,
2025012106,-3.2,1.6,,,,,
2025012107,-3.1,1.6,,,,,
2025012108,-2.6,1.7,,,,,
2025012109,-1.9,1.5,,,,,
2025012110,-0.9,1.4,,,,,
2025012111,0.2,1.4,,,,,
2025012112,0.8,1.5,,,,,
2025012113,1.6,1.7,,,,,
2025012114,2.0,1.8,,,,,
2025012115,2.3,1.9,,,,,
2025012116,1.9,1.8,,,,,
2025012117,1.2,1.6,,,,,
2025012118,0.5,1.6,,,,,
2025012119,-0.3,1.6,,,,,
2025012120,-0.9,1.6,,,,,
2025012121,-1.7,1.5,,,,,
2025012122,-2.0,1.5,,,,,
2025012123,-2.5,1.6,,,,,
2025012200,-2.7,1.6,,,,,
2025012201,-3.2,1.6,,,,,
2025012202,-3.3,1.7,,,,,
2025012203,-3.5,1.7,,,,,
2025012204,-3.6,1.7,,,,,
2025012205,-3.7,1.7,,,,,
2025012206,-3.7,1.7,,,,,
2025012207,-3.7,1.7,,,,,
2025012208,-3.4,1.6,,,,,
2025012209,-2.5,1.6,,,,,
2025012210,-1.3,1.5,,,,,
2025012211,-0.2,1.6,,,,,
2025012212,0.6,1.7,,,,,
2025012213,1.4,1.8,,,,,
2025012214,2.0,1.8,,,,,
2025012215,2.3,1.9,,,,,
2025012216,2.0,1.7,,,,,
2025012217,1.4,1.7,,,,,
2025012218,0.4,1.6,,,,,
2025012219,-0.3,1.7,,,,,
2025012220,-0.9,1.7,,,,,
2025012221,-1.3,1.7,,,,,
2025012222,-1.6,1.8,,,,,
2025012223,-1.8,1.6,,,,,
2025012300,-1.9,1.6,,,,,
2025012301,-2.2,1.7,,,,,
2025012302,-2.5,1.7,,,,,
2025012303,-2.3,1.7,,,,,
2025012304,-2.1,1.7,,,,,
2025012305,-2.1,1.6,,,,,
2025012306,-2.4,1.7,,,,,
2025012307,-2.0,1.8,,,,,
2025012308,-1.7,1.8,,,,,
2025012309,-1.6,1.6,,,,,
2025012310,-0.6,1.5,,,,,
2025012311,0.8,1.7,,,,,
2025012312,1.6,1.7,,,,,
2025012313,2.6,1.9,,,,,
2025012314,3.3,2.0,,,,,
2025012315,3.5,1.9,,,,,
2025012316,3.3,1.8,,,,,
2025012317,2.7,1.7,,,,,
2025012318,1.8,1.7,,,,,
2025012319,1.0,1.9,,,,,
2025012320,0.5,1.9,,,,,
2025012321,0.2,1.9,,,,,
2025012322,-0.1,2.0,,,,,
2025012323,-0.1,2.0,,,,,
2025012400,-0.3,2.0,,,,,
2025012401,-0.3,1.8,,,,,
2025012402,-0.3,1.9,,,,,
2025012403,-0.4,2.0,,,,,
2025012404,-0.4,2.0,,,,,
2025012405,-0.2,1.9,,,,,
2025012406,0.2,1.8,,,,,
2025012407,0.3,1.7,,,,,
2025012408,0.5,1.7,,,,,
2025012409,1.1,1.6,,,,,
2025012410,1.7,1.6,,,,,
2025012411,2.3,1.6,,,,,
2025012412,3.1,1.8,,,,,
2025012413,3.3,1.8,,,,,
