Date;Open;High;Low;Last;Volume;Status
03.02.2020;56,16;56,77;54,08;54,45;477224;0
04.02.2020;54,33;55,65;53,69;53,96;409857;0
05.02.2020;54,05;56,46;54,05;55,28;412265;0
06.02.2020;55,56;56,58;54,25;54,93;379871;0
07.02.2020;55,14;55,4;54,21;54,47;270802;0
10.02.2020;54,2;54,71;53,11;53,27;280175;0
11.02.2020;53,62;54,69;53,6;54,01;272814;0
12.02.2020;54,41;56,36;54,39;55,79;305454;0
13.02.2020;55,75;56,83;54,96;56,34;325512;0
14.02.2020;56,41;57,53;56,15;57,32;258139;0
17.02.2020;57,29;57,7;56,83;57,67;115337;0
18.02.2020;57,35;57,83;56,3;57,75;249196;0
19.02.2020;57,6;59,4;57,51;59,12;262150;0
20.02.2020;59,31;60;58,9;59,31;268649;0
21.02.2020;59;59,25;57,73;58,5;236494;0
24.02.2020;57,85;57,86;55,13;56,3;236331;0
25.02.2020;56,46;56,98;54,62;54,95;210280;0
26.02.2020;55,13;55,45;53,03;53,43;171495;0
27.02.2020;53,18;53,25;50,97;52,18;112157;0
28.02.2020;51,42;51,52;50,05;50,52;20359;0
02.03.2020;48,95;53,2;48,4;51,9;417555;0
03.03.2020;53,47;53,9;51,22;51,86;407554;0
04.03.2020;52,11;53,03;51,04;51,13;363501;0
05.03.2020;51,66;52,04;49,7;49,99;361035;0
06.03.2020;50,25;50,45;45,18;45,27;636391;0
09.03.2020;38,28;38,34;31,02;34,36;779723;0
10.03.2020;35,84;38,22;35;37,22;551292;0
11.03.2020;37,27;39,7;35,35;35,79;471772;0
12.03.2020;35,99;36,46;32,5;33,22;472738;0
13.03.2020;32,85;36,15;32,5;33,85;360628;0
16.03.2020;35,82;35,84;29,45;30,05;330119;0
17.03.2020;30,14;31,25;28,5;28,73;270240;0
18.03.2020;28,4;29,21;24,52;24,88;348397;0
19.03.2020;27,19;29,42;24,96;28,47;335723;0
20.03.2020;28,1;30,94;26,81;26,98;313837;0
23.03.2020;26,75;27,54;24,68;27,03;257591;0
