Dataset,Modelpreset,Knowncoavariables,MAE SKlearn,RMSE SKlearn,Duration,Date
all,medium_quality,,21.115970967239296,34.47463116447593,1460.1786527633667,2025.01.31-21.42
all,medium_quality,True,21.115970967239296,34.47463116447593,1446.2402648925781,2025.01.31-21.45
less,hp1,,22.15850497437115,35.43522327808544,2105.0783352851868,2025.01.31-21.42
less,hp1,True,22.15850497437115,35.43522327808544,2023.0373222827911,2025.01.31-21.45
less,fast_training,,25.166566688944954,38.683681580588264,2621.7617614269257,2025.01.31-21.42
all,hp1,,22.0252428423577,35.50040709289568,2766.8804371356964,2025.01.31-21.42
all,hp1,True,22.029175178432524,35.51142062860398,2757.887007713318,2025.01.31-21.45
all,best_quality,,20.32076645538799,33.080776843589526,3000.1355078220367,2025.01.31-21.41
all,high_quality,,20.32076645538799,33.080776843589526,2983.9182889461517,2025.01.31-21.42
all,best_quality,True,20.4142144141447,33.201690926343964,3009.794859647751,2025.01.31-21.45
all,high_quality,True,20.407920214799233,33.204832563958284,3051.7769260406494,2025.01.31-21.45
less,best_quality,,19.567992687654968,33.27093812440905,5080.500498533249,2025.01.31-21.42
less,high_quality,,19.531172584295593,33.233517577585104,5154.464084625244,2025.01.31-21.42
all,fast_training,True,25.166566688944954,38.683681580588264,6533.263905286789,2025.01.31-21.45
all,fast_training,,25.166566688944954,38.683681580588264,6936.6256012916565,2025.01.31-21.42
less,fast_training,True,25.166566688944954,38.683681580588264,6740.390499830246,2025.01.31-21.45
dayhead,fast_training,True,25.166566688944954,38.683681580588264,6910.754144906998,2025.01.31-21.45
dayhead,fast_training,,25.166566688944954,38.683681580588264,7143.279896020889,2025.01.31-21.41
less,high_quality,True,19.576595314842567,33.32156404384744,7029.284805297852,2025.01.31-21.45
less,best_quality,True,19.628429300001343,33.3129709084934,12851.585242033005,2025.01.31-21.45
